id,item,dollars,wkday,time
0,cookware set,25.71,Sat,2
1,carpet,20.38,Mon,2
2,microwave,18.6,Fri,3
3,cookware set,65.93,Fri,1
4,fan,32.31,Sat,3
5,cookware set,79.86,Mon,3
6,carpet,51.42,Tue,0
7,carpet,51.23,Thur,3
8,toaster,21.33,Fri,3
9,microwave,15.28,Tue,2
10,decorations,19.94,Mon,1
11,paint,12.99,Wed,0
12,fan,21.73,Sat,0
13,paint,11.92,Tue,3
14,cookware set,82.63,Mon,3
15,cookware set,96.36,Sat,0
16,toaster,19.47,Wed,1
17,toaster,23.42,Fri,0
18,fan,91.54,Tue,2
19,microwave,33.53,Tue,3
20,carpet,57.22,Mon,1
21,cookware set,109.66,Mon,2
22,carpet,62.47,Wed,2
23,microwave,15.03,Wed,1
24,paint,17.24,Thur,3
25,carpet,34.44,Mon,1
26,toaster,13.36,Wed,2
27,paint,12.78,Sat,0
28,decorations,16.63,5,0
29,fan,21.36,Fri,0
30,toaster,29.55,Thur,0
31,paint,19.49,Mon,0
32,paint,19.98,Sun,0
33,fan,58.16,Sun,0
34,fan,103.13,Sun,2
35,carpet,11.71,Wed,2
36,paint,14.92,Wed,0
37,carpet,11.17,Wed,2
38,paint,14.92,Mon,0
39,toaster,26.11,Tue,1
40,cookware set,98.84,Sat,1
41,fan,32.67,Sun,3
42,paint,10.98,Fri,0
43,decorations,12.44,5,3
44,fan,29.56,Thur,0
45,toaster,28.63,Wed,0
46,cookware set,43.46,Mon,2
47,fan,48.42,Mon,3
48,toaster,12.83,Mon,1
49,toaster,20.43,Thur,2
50,cookware set,37.8,Thur,1
51,fan,72.03,Mon,2
52,cookware set,52.93,Sun,3
53,microwave,37.88,Thur,0
54,paint,10.31,Mon,3
55,decorations,10.47,5,0
56,cookware set,90.29,Sun,2
57,carpet,17.16,Sat,2
58,fan,100.61,Fri,3
59,toaster,26.72,Sun,1
60,paint,10.65,Wed,0
61,toaster,13.64,Thur,1
62,decorations,11.2,Sun,1
63,cookware set,24.82,Mon,1
64,carpet,29.34,Fri,3
65,decorations,15.72,5,1
66,toaster,16.36,Tue,3
67,cookware set,38.82,Wed,3
68,cookware set,43.79,Tue,2
69,cookware set,95.0,Mon,0
70,paint,13.61,Sun,0
71,microwave,27.9,Wed,2
72,fan,31.57,Thur,1
73,carpet,49.03,Sat,1
74,toaster,24.36,Sun,3
75,decorations,11.25,Sun,3
76,decorations,10.62,Fri,2
77,decorations,19.99,5,0
78,paint,14.9,Mon,1
79,paint,11.7,Fri,2
80,carpet,66.47,Mon,2
81,paint,13.34,Sat,0
82,paint,19.29,Sat,0
83,decorations,17.6,5,3
84,cookware set,15.51,Sat,3
85,decorations,14.48,Sun,1
86,fan,93.2,Sun,1
87,fan,106.85,Fri,3
88,paint,15.19,Tue,0
89,carpet,97.48,Fri,0
90,carpet,90.72,Thur,2
91,fan,12.38,Wed,2
92,fan,92.23,Mon,0
93,paint,18.09,Fri,3
94,decorations,11.13,5,0
95,cookware set,23.32,Sat,0
96,toaster,28.95,Fri,3
97,decorations,19.91,Tue,2
98,microwave,11.91,Thur,2
99,carpet,99.04,Fri,1
100,microwave,22.17,Thur,3
101,fan,90.99,Wed,2
102,fan,57.47,Tue,3
103,toaster,16.3,Sat,1
104,carpet,30.6,Mon,2
105,fan,42.31,Mon,0
106,decorations,19.77,Wed,3
107,toaster,11.26,Fri,3
108,decorations,12.3,5,0
109,carpet,61.42,Thur,2
110,decorations,15.43,Wed,1
111,carpet,77.79,Thur,3
112,microwave,27.59,Sun,2
113,paint,13.33,Mon,0
114,fan,95.83,Wed,3
115,carpet,28.46,Sat,3
116,cookware set,75.76,Mon,1
117,toaster,15.24,Sat,0
118,paint,10.59,Fri,0
119,paint,16.95,Sun,3
120,toaster,21.68,Tue,2
121,toaster,17.71,Thur,1
122,fan,100.23,Sun,1
123,cookware set,82.78,Sun,1
124,carpet,30.55,Fri,0
125,microwave,31.8,Thur,2
126,fan,24.83,Sat,1
127,toaster,12.04,Fri,0
128,carpet,50.01,Sun,1
129,fan,17.7,Thur,3
130,microwave,24.19,Mon,0
131,cookware set,79.69,Thur,0
132,microwave,10.59,Fri,2
133,paint,16.07,Sun,0
134,carpet,36.36,Mon,0
135,microwave,20.84,Fri,0
136,decorations,13.89,5,2
137,carpet,80.8,Tue,3
138,paint,12.68,Thur,3
139,toaster,29.36,Sun,0
140,cookware set,84.57,Sun,3
141,carpet,61.46,Tue,1
142,paint,18.22,Sun,0
143,cookware set,76.4,Fri,0
144,carpet,59.75,Thur,0
145,microwave,18.18,Sat,0
146,paint,19.42,Tue,0
147,microwave,30.5,Thur,0
148,fan,54.85,Wed,1
149,paint,10.2,Mon,0
150,paint,14.21,Mon,3
151,cookware set,14.27,Fri,3
152,paint,16.38,Sat,3
153,toaster,23.59,Wed,3
154,carpet,36.67,Fri,1
155,microwave,26.11,Fri,2
156,decorations,14.46,Fri,3
157,paint,19.35,Mon,0
158,carpet,66.02,Fri,2
159,decorations,13.95,Mon,2
160,microwave,17.49,Sat,2
161,fan,32.1,Fri,1
162,fan,70.36,Mon,2
163,microwave,24.85,Tue,3
164,cookware set,21.95,Wed,2
165,decorations,11.42,5,3
166,fan,13.59,Tue,2
167,decorations,19.12,5,3
168,paint,17.44,Fri,0
169,toaster,20.0,Tue,1
170,carpet,25.15,Sun,1
171,fan,78.19,Sun,0
172,paint,18.29,Tue,0
173,decorations,19.97,5,3
174,decorations,15.96,5,0
175,carpet,102.92,Mon,1
176,paint,14.62,Sun,2
177,carpet,11.99,Sat,1
178,decorations,12.25,5,2
179,toaster,27.17,Sat,3
180,microwave,20.77,Sat,2
181,toaster,25.24,Sun,2
182,cookware set,78.69,Wed,2
183,paint,17.44,Fri,1
184,fan,52.58,Fri,0
185,microwave,33.78,Wed,3
186,decorations,19.43,Fri,0
187,carpet,62.87,Sat,2
188,paint,14.74,Sun,1
189,fan,65.48,Thur,2
190,cookware set,87.6,Thur,0
191,carpet,72.13,Tue,3
192,toaster,14.36,Mon,3
193,paint,14.41,Sat,0
194,carpet,10.26,Sat,3
195,fan,13.6,Wed,2
196,cookware set,104.45,Mon,2
197,cookware set,82.33,Fri,0
198,toaster,19.39,Sun,2
199,decorations,16.49,Wed,0
200,microwave,31.26,Sat,3
201,fan,75.42,Sat,3
202,microwave,29.31,Sat,2
203,decorations,16.71,Sun,3
204,decorations,10.81,Sat,0
205,cookware set,41.58,Thur,3
206,fan,108.71,Sun,3
207,fan,13.71,Wed,3
208,decorations,13.89,5,1
209,paint,19.01,Sat,0
210,paint,11.77,Fri,0
211,paint,14.57,Tue,0
212,paint,14.82,Tue,1
213,microwave,34.94,Fri,0
214,carpet,101.79,Fri,3
215,cookware set,57.01,Tue,1
216,decorations,10.51,5,3
217,decorations,16.79,Tue,2
218,fan,17.43,Mon,3
219,cookware set,13.4,Sat,2
220,toaster,22.86,Tue,3
221,decorations,12.76,5,2
222,paint,12.4,Fri,0
223,decorations,18.38,Mon,2
224,decorations,10.96,5,1
225,paint,13.82,Tue,0
226,carpet,53.4,Sat,3
227,paint,18.04,Mon,0
228,cookware set,23.9,Wed,1
229,microwave,33.96,Fri,0
230,fan,73.42,Tue,2
231,carpet,38.64,Sat,3
232,toaster,12.52,Wed,0
233,microwave,30.69,Tue,0
234,paint,19.29,Tue,0
235,cookware set,58.29,Sat,1
236,toaster,20.17,Sat,1
237,decorations,13.49,Sat,3
238,carpet,70.38,Sun,1
239,cookware set,31.04,Sat,3
240,microwave,32.4,Mon,3
241,fan,50.51,Thur,3
242,microwave,23.02,Mon,3
243,toaster,16.46,Fri,0
244,carpet,33.76,Wed,3
245,carpet,30.0,Tue,1
