id,travel-dest,spend
0,US,77
1,MEXICO,26
2,CHINA,46
3,UK,54
4,SOUTH KOREA,52
5,US,52
6,MEXICO,33
7,CHILE,22
8,SPAIN,72
9,CHILE,76
10,CHINA,98
11,CHINA,32
12,CHILE,87
13,CANADA,72
14,ITALY,64
15,US,90
16,CHILE,54
17,CHILE,90
18,MEXICO,69
19,THAILAND,62
20,SOUTH KOREA,97
21,MEXICO,75
22,US,99
23,US,78
24,THAILAND,54
25,MEXICO,42
26,CANADA,62
27,CHINA,26
28,NONE,934
29,SOUTH KOREA,54
30,NONE,941
31,SOUTH KOREA,56
32,CANADA,73
33,SPAIN,93
34,UK,50
35,SOUTH KOREA,68
36,MEXICO,25
37,CHILE,67
38,CHINA,84
39,NONE,204
40,THAILAND,65
41,UK,48
42,SPAIN,51
43,SPAIN,23
44,THAILAND,48
45,US,26
46,CHILE,28
47,UK,94
48,SOUTH KOREA,38
49,NONE,510
50,TURKEY,25
51,THAILAND,25
52,CHINA,40
53,CANADA,85
54,SPAIN,24
55,SOUTH KOREA,22
56,UK,34
57,US,42
58,MEXICO,21
59,SPAIN,58
60,US,20
61,CHINA,28
62,MEXICO,34
63,SOUTH KOREA,56
64,SPAIN,20
65,THAILAND,85
66,THAILAND,36
67,CANADA,92
68,NONE,874
69,NONE,720
70,SPAIN,42
71,SPAIN,66
72,MEXICO,53
73,ITALY,92
74,SPAIN,80
75,MEXICO,98
76,MEXICO,86
77,CANADA,77
78,CHILE,50
79,CANADA,92
80,THAILAND,34
81,TURKEY,78
82,CHINA,82
83,MEXICO,96
84,UK,37
85,SPAIN,45
86,TURKEY,90
87,ITALY,28
88,MEXICO,20
89,SOUTH KOREA,31
90,THAILAND,61
91,CHINA,30
92,SPAIN,70
93,UK,80
94,CHILE,81
95,ITALY,88
96,THAILAND,62
97,CANADA,57
98,CANADA,63
99,MEXICO,87
100,NONE,353
101,US,87
102,CANADA,94
103,SOUTH KOREA,76
104,THAILAND,63
105,TURKEY,64
106,NONE,811
107,CHILE,36
108,MEXICO,71
109,NONE,821
110,US,63
111,CANADA,79
112,THAILAND,68
113,US,73
114,MEXICO,80
115,CHILE,100
116,MEXICO,28
117,UK,47
118,THAILAND,90
119,UK,73
120,MEXICO,95
121,CANADA,88
122,US,71
123,MEXICO,44
124,THAILAND,54
125,TURKEY,58
126,US,44
127,MEXICO,77
128,SPAIN,53
129,US,86
130,THAILAND,39
131,CHINA,53
132,CHINA,68
133,CHINA,74
134,US,93
135,CHILE,66
136,CHILE,24
137,SOUTH KOREA,70
138,CHINA,73
139,TURKEY,40
140,SOUTH KOREA,56
141,NONE,740
142,SOUTH KOREA,35
143,MEXICO,96
144,THAILAND,72
145,MEXICO,66
146,THAILAND,78
147,US,99
148,CHINA,69
149,NONE,880
150,MEXICO,23
151,THAILAND,89
152,MEXICO,74
153,CHINA,66
154,CANADA,86
155,UK,21
156,THAILAND,91
157,US,64
158,MEXICO,67
159,US,23
160,CHILE,76
161,CHILE,24
162,CHINA,53
163,CHILE,96
164,US,97
165,MEXICO,94
166,CHILE,47
167,ITALY,47
168,CHILE,23
169,CHILE,82
170,UK,89
171,CANADA,59
172,CHINA,55
173,US,99
174,MEXICO,72
175,THAILAND,88
176,SPAIN,60
177,UK,69
178,SPAIN,66
179,MEXICO,60
180,MEXICO,93
181,CHINA,29
182,SOUTH KOREA,79
183,ITALY,93
184,US,60
185,TURKEY,76
186,UK,96
187,ITALY,59
188,THAILAND,50
189,CHINA,44
190,US,59
191,NONE,998
192,SOUTH KOREA,34
193,ITALY,23
194,SOUTH KOREA,74
195,CHILE,63
196,UK,63
197,CHINA,37
198,ITALY,57
199,UK,72
200,UK,73
201,US,59
202,ITALY,73
203,ITALY,47
204,UK,78
205,CHINA,70
206,NONE,674
207,MEXICO,75
208,ITALY,53
209,CHILE,62
210,UK,99
211,SPAIN,86
212,US,80
213,TURKEY,60
214,CHINA,64
215,UK,27
216,SPAIN,92
217,SOUTH KOREA,53
218,THAILAND,41
219,CANADA,81
220,SOUTH KOREA,34
221,TURKEY,63
222,UK,38
223,THAILAND,87
224,CANADA,81
225,CHILE,66
226,UK,41
227,CANADA,64
228,CHILE,40
229,CHILE,37
230,TURKEY,40
231,CHINA,71
232,MEXICO,58
233,MEXICO,66
234,SPAIN,98
235,SPAIN,82
236,MEXICO,49
237,CANADA,90
238,THAILAND,22
239,MEXICO,97
240,US,80
241,SOUTH KOREA,86
242,TURKEY,44
243,SOUTH KOREA,72
244,US,98
245,MEXICO,97
246,ITALY,59
247,CHILE,45
248,THAILAND,77
249,SPAIN,89
250,UK,86
251,SPAIN,43
252,TURKEY,61
253,MEXICO,29
254,CHINA,93
255,SOUTH KOREA,44
256,THAILAND,99
257,SPAIN,49
258,SOUTH KOREA,97
259,SOUTH KOREA,68
260,TURKEY,43
261,SOUTH KOREA,64
262,SPAIN,49
263,SOUTH KOREA,94
264,CHILE,98
265,TURKEY,92
266,THAILAND,98
267,ITALY,24
268,SOUTH KOREA,34
269,TURKEY,48
270,CHILE,58
271,CANADA,86
272,TURKEY,69
273,UK,38
274,THAILAND,34
275,SPAIN,54
276,ITALY,43
277,TURKEY,44
278,UK,46
279,ITALY,54
280,TURKEY,66
281,THAILAND,94
282,THAILAND,64
283,CANADA,95
284,UK,92
285,CHINA,27
286,ITALY,61
287,CANADA,52
288,UK,71
289,UK,62
290,US,87
291,US,63
292,CHILE,84
293,CHINA,64
294,US,86
295,TURKEY,60
296,CHINA,69
297,THAILAND,58
298,CHINA,54
299,NONE,815
300,ITALY,80
301,US,46
302,MEXICO,65
303,THAILAND,37
304,CHINA,51
305,CANADA,78
306,CHILE,97
307,UK,68
308,CHINA,80
309,US,93
310,SPAIN,78
311,US,76
312,ITALY,30
313,SOUTH KOREA,71
314,UK,20
315,NONE,95
316,ITALY,77
317,UK,45
318,ITALY,82
319,US,31
320,THAILAND,25
321,SOUTH KOREA,52
322,UK,53
323,ITALY,70
324,NONE,820
325,CANADA,51
326,TURKEY,71
327,CHILE,78
328,NONE,404
329,MEXICO,80
330,THAILAND,67
331,TURKEY,92
332,THAILAND,60
333,THAILAND,23
334,CANADA,78
335,UK,58
336,MEXICO,99
337,UK,95
338,SPAIN,62
339,NONE,764
340,US,50
341,SOUTH KOREA,71
342,NONE,276
343,SOUTH KOREA,67
344,THAILAND,56
345,SPAIN,72
346,MEXICO,91
347,NONE,510
348,CANADA,79
349,TURKEY,21
350,THAILAND,53
351,TURKEY,40
352,SPAIN,79
353,TURKEY,36
354,CHINA,27
355,MEXICO,43
356,ITALY,28
357,MEXICO,66
358,TURKEY,43
359,TURKEY,40
360,MEXICO,91
361,THAILAND,74
362,ITALY,50
363,UK,87
364,CHILE,52
365,TURKEY,39
366,THAILAND,35
367,US,36
368,SPAIN,96
369,US,90
370,TURKEY,30
371,CANADA,34
372,SOUTH KOREA,69
373,TURKEY,75
374,UK,38
375,CANADA,79
376,NONE,976
377,US,21
378,MEXICO,26
379,UK,68
380,US,84
381,MEXICO,23
382,CHILE,56
383,SPAIN,42
384,SOUTH KOREA,21
385,SPAIN,70
386,CANADA,43
387,SPAIN,49
388,TURKEY,85
389,THAILAND,48
390,CANADA,62
391,THAILAND,68
392,CHILE,94
393,CHINA,97
394,SPAIN,66
395,CHILE,81
