Yourself,Partner,Neighbor,Friends,Kids,id
0,1,0,0,0,0
0,1,0,0,0,1
1,1,1,1,1,2
0,1,1,0,0,3
1,1,0,1,1,4
1,1,1,1,1,5
1,1,1,1,1,6
0,0,1,0,0,7
0,0,0,1,1,8
0,1,0,0,0,9
0,0,1,0,1,10
0,1,0,0,0,11
0,1,1,0,1,12
0,1,0,1,1,13
1,1,1,1,1,14
0,1,0,0,1,15
1,1,1,1,1,16
1,0,0,0,0,17
1,1,0,1,1,18
1,1,0,0,0,19
1,1,1,1,1,20
1,0,1,1,1,21
1,1,0,0,0,22
1,1,1,1,1,23
1,1,0,1,0,24
1,1,0,1,1,25
0,1,1,0,0,26
1,1,0,1,1,27
1,0,0,0,0,28
0,1,1,1,1,29
1,1,1,1,1,30
0,1,1,0,0,31
1,0,0,0,0,32
1,0,1,1,1,33
0,0,1,0,0,34
0,0,1,1,0,35
0,1,0,0,0,36
0,0,0,0,1,37
1,1,1,1,1,38
1,0,1,1,1,39
1,1,0,0,1,40
1,1,1,1,0,41
1,1,1,1,1,42
0,1,1,0,0,43
0,0,0,1,1,44
0,0,0,0,1,45
1,0,1,0,0,46
1,1,1,0,0,47
0,1,0,0,1,48
1,1,1,0,0,49
1,1,0,0,0,50
0,1,1,0,1,51
1,0,0,1,1,52
1,1,0,1,0,53
0,0,1,1,1,54
1,1,1,1,1,55
1,0,0,0,0,56
1,0,1,0,0,57
0,0,0,0,1,58
1,1,1,1,1,59
1,1,1,1,1,60
1,0,1,1,0,61
1,1,0,0,1,62
0,0,1,1,1,63
1,0,0,1,1,64
1,1,1,1,1,65
1,1,1,0,1,66
1,0,1,1,0,67
0,0,0,1,0,68
1,1,1,1,1,69
1,1,1,1,1,70
0,0,1,0,0,71
0,0,0,0,1,72
1,1,1,1,1,73
1,0,1,1,1,74
0,0,0,1,1,75
1,1,1,1,1,76
1,0,1,1,1,77
1,0,0,1,0,78
1,1,0,1,1,79
1,0,0,0,0,80
1,1,0,0,0,81
1,1,0,0,0,82
1,1,1,0,1,83
1,0,1,1,1,84
1,1,1,1,1,85
1,1,1,1,1,86
1,1,1,1,1,87
1,1,0,0,0,88
0,1,1,1,1,89
1,1,0,0,0,90
1,1,1,1,1,91
1,1,1,1,0,92
1,0,1,1,1,93
1,0,0,0,0,94
1,0,0,1,1,95
0,1,1,1,1,96
1,1,1,0,0,97
1,1,1,1,1,98
1,0,1,0,1,99
0,1,1,1,1,100
1,1,1,1,0,101
0,1,1,0,1,102
0,0,1,1,0,103
0,1,1,1,0,104
1,0,0,1,1,105
1,1,0,0,0,106
1,1,0,1,1,107
1,0,0,0,0,108
1,1,0,0,0,109
1,1,1,1,1,110
0,0,1,1,1,111
1,1,1,1,1,112
1,0,0,1,1,113
0,1,0,1,1,114
0,1,1,1,1,115
1,1,0,0,0,116
0,0,1,0,0,117
1,1,1,1,1,118
1,0,0,0,1,119
1,1,1,1,1,120
0,0,1,1,1,121
0,0,0,0,1,122
1,1,1,1,1,123
0,1,0,1,0,124
0,1,0,1,0,125
1,1,1,1,1,126
1,1,0,1,1,127
0,0,0,0,1,128
1,0,1,0,0,129
1,0,1,0,0,130
1,1,1,1,1,131
1,1,1,1,1,132
0,0,1,0,0,133
1,1,1,1,1,134
1,0,1,1,0,135
0,1,0,1,0,136
0,0,1,1,0,137
1,1,1,1,0,138
1,1,1,1,1,139
0,1,0,1,0,140
1,1,1,1,1,141
1,1,1,1,0,142
1,1,1,1,1,143
1,1,1,1,1,144
1,1,1,0,1,145
1,1,1,1,1,146
1,0,0,0,1,147
1,1,1,1,1,148
1,0,1,0,0,149
1,0,1,1,1,150
1,1,0,0,1,151
1,0,1,1,1,152
1,0,1,1,1,153
0,0,0,1,0,154
1,0,1,1,1,155
0,0,1,1,0,156
0,0,0,0,1,157
1,1,1,1,1,158
0,0,1,1,1,159
1,1,0,1,1,160
0,0,1,0,0,161
0,1,0,1,0,162
0,1,0,0,1,163
0,1,1,0,1,164
0,1,1,0,0,165
1,1,1,1,1,166
1,1,1,1,1,167
0,0,1,0,1,168
0,1,0,1,0,169
1,1,1,1,1,170
1,1,1,1,1,171
1,1,0,1,0,172
1,1,1,0,0,173
1,1,0,1,1,174
1,0,0,1,0,175
1,1,1,1,1,176
1,0,0,1,1,177
1,1,1,0,1,178
1,1,1,1,1,179
0,0,0,0,1,180
1,1,1,1,1,181
1,1,1,1,1,182
1,0,1,1,1,183
0,1,0,0,1,184
0,0,0,1,0,185
1,1,1,1,1,186
1,1,0,1,0,187
1,1,1,1,1,188
1,1,1,1,1,189
1,1,1,1,1,190
1,1,0,0,1,191
1,1,1,1,1,192
1,1,1,1,1,193
0,0,1,0,0,194
1,1,1,1,1,195
1,1,1,1,1,196
0,1,0,0,0,197
1,1,1,1,0,198
0,0,0,1,0,199
1,1,0,1,1,200
1,1,0,1,1,201
1,1,1,1,1,202
1,1,1,1,1,203
1,1,1,0,1,204
0,1,0,0,1,205
1,0,1,0,1,206
0,0,0,0,1,207
1,0,1,0,0,208
1,0,1,1,1,209
0,1,0,0,1,210
0,1,1,0,1,211
1,0,1,0,1,212
0,1,0,0,1,213
1,1,1,1,1,214
1,1,1,1,1,215
1,1,1,0,1,216
0,0,1,0,0,217
1,1,0,0,1,218
0,1,0,0,0,219
1,1,1,1,1,220
0,1,0,0,0,221
1,1,1,1,0,222
1,0,0,0,0,223
0,1,0,0,1,224
1,1,1,1,0,225
1,0,0,1,1,226
1,0,1,1,1,227
0,1,0,1,0,228
1,0,0,0,1,229
0,0,0,0,1,230
1,0,1,1,1,231
0,0,0,0,1,232
1,1,1,1,1,233
0,1,0,1,1,234
1,1,1,1,0,235
1,0,0,0,1,236
1,1,0,0,1,237
0,1,1,0,1,238
0,0,0,1,1,239
1,0,1,0,1,240
0,1,0,0,1,241
1,1,1,1,1,242
0,0,1,0,0,243
0,1,0,0,0,244
1,0,0,1,0,245
1,1,1,1,0,246
0,0,1,0,0,247
1,1,1,1,1,248
1,1,1,1,1,249
1,1,1,1,1,250
0,1,0,0,1,251
1,1,1,1,1,252
0,0,1,0,0,253
0,0,0,0,1,254
1,1,0,1,1,255
1,1,0,1,0,256
0,0,0,0,1,257
1,0,0,0,0,258
0,1,1,1,1,259
0,1,1,0,0,260
1,0,0,1,0,261
1,1,1,1,1,262
0,0,0,0,1,263
0,1,0,0,1,264
0,1,1,1,0,265
1,0,1,1,1,266
1,1,1,1,1,267
1,1,0,1,1,268
1,1,1,1,1,269
1,0,1,1,1,270
1,1,1,1,1,271
1,1,1,1,0,272
0,0,1,0,0,273
1,1,0,1,1,274
1,1,1,0,0,275
1,0,1,1,1,276
1,1,0,1,0,277
1,0,0,0,1,278
0,0,1,0,1,279
1,1,1,1,1,280
0,1,1,1,1,281
1,1,1,1,1,282
1,1,1,1,1,283
0,0,1,0,0,284
1,0,0,1,0,285
0,0,1,0,1,286
0,1,1,0,0,287
1,0,1,1,1,288
1,0,0,0,0,289
0,0,0,0,1,290
1,1,1,1,1,291
0,0,0,0,1,292
1,1,1,1,1,293
1,1,0,1,1,294
1,1,1,1,1,295
1,1,1,1,1,296
1,1,0,1,1,297
1,1,1,1,1,298
1,1,1,1,1,299
0,0,0,1,0,300
1,1,1,1,0,301
1,0,1,1,1,302
0,1,0,1,1,303
1,0,1,1,0,304
1,1,1,1,0,305
1,1,1,1,1,306
1,1,0,0,1,307
1,1,1,1,1,308
1,1,1,1,1,309
1,0,0,1,0,310
0,0,1,0,0,311
1,1,1,0,1,312
1,0,1,1,1,313
1,1,1,1,1,314
1,1,1,1,0,315
1,0,1,1,1,316
0,0,1,0,0,317
1,0,1,1,1,318
0,0,1,0,0,319
1,1,1,1,1,320
0,1,0,0,0,321
1,0,1,1,0,322
1,1,1,1,0,323
0,0,0,1,0,324
0,1,1,1,1,325
1,0,1,1,1,326
0,1,0,0,0,327
0,1,1,1,0,328
1,1,1,1,1,329
0,0,0,0,1,330
0,1,1,0,1,331
1,1,1,1,1,332
0,0,0,0,1,333
1,1,0,1,0,334
1,1,1,1,1,335
1,0,0,0,0,336
1,1,1,1,1,337
