sku,sales,red,blue,white,black,green,orange,digital news platform,blog,youtube,magazine,gps,step-tracker,extra-light-material
0,2324.6972925406294,0,0,1,1,0,0,0,1,0,0,0,0,0
1,2376.396083316059,0,1,0,0,0,1,1,1,1,0,0,0,0
2,8358.150200688182,1,1,1,1,1,1,0,1,0,0,0,0,0
3,6231.94791809353,1,1,0,0,1,1,0,0,0,1,1,1,1
4,8019.10556691871,0,1,1,1,1,1,1,1,1,0,1,0,0
5,7722.032150889979,0,0,0,1,0,0,1,0,0,1,0,1,1
6,2735.4541145854196,0,0,0,0,0,0,1,1,0,1,0,0,1
7,3522.379912890811,1,0,1,0,1,1,0,1,0,0,1,1,1
8,4957.175008208282,1,1,0,1,1,0,1,0,0,0,1,1,1
9,9122.210371997151,0,0,0,0,0,1,1,0,1,1,1,1,1
10,506.40026278372494,1,1,1,1,1,1,0,1,0,0,0,0,1
11,2642.792985311515,1,1,1,1,1,1,1,0,1,0,0,0,0
12,5199.889307457252,0,0,0,0,0,0,1,1,0,0,0,0,0
13,6218.604020089951,1,1,1,1,1,1,0,0,0,0,0,0,0
14,7667.080835447071,0,0,0,1,0,0,1,1,1,0,0,0,0
15,9987.13788477044,1,0,0,0,0,0,1,1,0,0,0,0,0
16,315.4985052201953,0,0,0,0,1,0,1,1,0,0,0,0,0
17,9395.499195576398,0,0,0,0,0,0,0,1,1,1,0,0,1
18,251.04856831783871,0,1,0,1,0,1,1,0,0,0,1,1,1
19,5772.428192537831,1,0,0,1,1,1,0,1,1,1,0,0,1
20,8711.29744936915,1,0,0,0,0,0,1,0,0,0,1,0,1
21,1378.9789729911838,0,0,0,1,0,1,1,0,0,0,0,0,0
22,7127.493314292642,1,0,1,0,0,1,0,1,0,1,1,0,1
23,5256.313700156511,0,1,1,0,0,1,1,0,1,1,0,0,0
24,7297.1099089523605,0,0,0,1,0,0,0,1,0,0,0,1,0
25,3757.552215809702,0,0,0,0,0,0,0,0,0,0,0,0,1
26,5418.323819847151,0,0,0,0,0,0,1,0,1,1,0,0,0
27,3291.914392465618,0,0,0,0,1,0,0,0,0,0,0,0,0
28,5224.157774301033,1,0,1,0,0,1,0,1,0,1,0,1,1
29,6871.408212898792,1,1,1,1,1,1,0,0,0,0,1,1,1
30,9250.820468105749,1,1,1,1,1,1,1,1,1,1,0,0,1
31,6455.304536215856,0,0,0,0,0,0,1,0,1,1,1,1,0
32,8081.31516919717,1,0,1,0,1,1,0,1,1,0,1,0,1
33,1230.8952185429523,0,0,1,0,0,0,0,0,0,0,0,1,0
34,2578.1762345694337,1,0,0,1,1,0,1,1,0,1,0,0,0
35,8711.772640165398,0,0,0,0,0,0,0,0,0,0,1,0,0
36,7300.081886354993,1,1,1,1,1,1,0,0,1,0,0,0,0
37,334.18408356630124,0,1,0,0,0,0,1,1,1,1,1,0,0
38,5334.9001509227965,0,0,0,0,0,1,1,1,0,0,0,0,1
39,37.24426589029051,0,0,0,0,0,0,0,1,1,1,1,1,1
40,7112.244932555708,1,0,1,0,0,0,1,1,1,1,1,1,1
41,7607.774870500519,0,1,1,1,1,1,1,1,1,1,0,0,0
42,3852.4808936217537,1,1,1,1,0,1,1,1,1,1,0,1,1
43,1702.814925820888,1,1,1,1,0,0,0,0,0,0,0,0,0
44,8031.7124548732245,1,1,1,1,0,1,1,0,0,1,1,1,1
45,2168.144917754297,0,0,0,1,0,0,0,1,0,0,0,0,0
46,601.4940438654137,0,0,0,0,0,0,1,0,0,1,0,1,1
47,7423.314876628629,0,0,0,0,1,0,1,0,0,0,0,0,0
48,5600.817411793917,0,1,1,0,0,0,0,1,1,1,0,0,0
49,7737.413191505732,0,0,0,0,1,0,0,0,0,1,0,1,1
50,2920.3829204402464,1,1,1,1,1,0,1,1,1,1,0,0,1
51,8217.942466445222,1,1,1,0,1,1,1,1,1,0,0,1,1
52,6255.790369687286,0,1,0,1,1,1,1,1,0,0,0,0,0
53,5484.676522548525,1,1,1,1,1,1,1,1,1,1,0,0,0
54,6440.94666150079,1,0,0,0,0,0,0,0,0,0,0,0,0
55,3926.0937122187934,1,0,1,0,0,1,1,1,0,1,0,0,0
56,8167.96746893423,1,0,0,1,0,0,0,1,1,1,0,1,0
57,1664.3177531594167,0,1,0,0,0,1,0,1,0,0,1,0,0
58,9709.275571172113,0,0,1,1,1,0,1,0,1,1,1,1,1
59,2940.6172715274715,0,0,1,1,0,0,0,0,1,1,1,1,0
