id,month,buy,days-in-cart,times-in-cart
0,8,0,11,3
1,4,0,23,7
2,10,0,14,10
3,8,0,38,4
4,8,0,44,9
5,11,0,31,2
6,3,0,28,4
7,11,0,24,9
8,11,1,14,10
9,10,0,2,7
10,3,0,28,9
11,8,0,57,9
12,3,0,25,8
13,7,0,14,3
14,10,0,6,3
15,8,0,7,2
16,10,1,41,10
17,7,0,41,3
18,1,0,26,3
19,3,0,10,5
20,2,0,59,2
21,2,0,57,8
22,7,0,30,4
23,5,0,4,6
24,10,0,19,5
25,4,0,3,10
26,2,0,32,8
27,3,0,37,4
28,2,0,6,7
29,8,0,22,2
30,6,1,20,4
31,12,0,7,5
32,12,0,17,4
33,1,0,6,3
34,5,0,43,3
35,1,0,29,8
36,3,0,0,3
37,7,0,40,4
38,10,0,24,1
39,5,0,58,5
40,11,0,35,5
41,11,0,38,8
42,4,0,41,8
43,9,1,29,8
44,1,0,37,6
45,6,0,50,8
46,7,1,34,5
47,10,0,25,3
48,2,1,33,9
49,7,1,32,5
50,4,0,19,5
51,10,0,59,10
52,6,0,26,5
53,1,0,49,5
54,4,0,41,3
55,6,0,28,1
56,10,0,33,7
57,1,0,24,1
58,4,0,9,7
59,5,0,5,6
60,11,0,43,4
61,11,0,47,4
62,12,0,40,3
63,6,1,35,8
64,5,0,14,4
65,10,0,8,9
66,2,0,34,3
67,2,0,39,10
68,5,0,6,10
69,9,0,8,9
70,7,0,8,8
71,7,0,14,10
72,2,0,51,6
73,4,0,15,1
74,6,0,29,2
75,8,0,7,2
76,9,0,35,10
77,6,0,16,4
78,4,0,17,10
79,1,0,36,9
80,6,0,43,8
81,12,0,50,4
82,9,0,35,4
83,4,0,37,9
84,1,0,18,8
85,12,0,45,2
86,12,0,55,5
87,12,0,40,1
88,1,0,39,7
89,5,0,6,2
90,9,0,52,8
91,3,0,35,6
92,2,0,12,3
93,12,0,8,8
94,1,0,35,3
95,6,1,50,5
96,10,0,12,2
97,4,0,26,1
98,1,0,55,5
99,3,1,26,7
100,12,0,17,2
101,7,0,18,8
102,8,0,60,9
103,9,0,14,2
104,2,0,25,9
105,9,1,22,9
106,12,0,60,7
107,2,0,38,8
