shoes_type,day of week,sales
lightweight trainer,1,1000.0
lightweight trainer,2,1619.4469854075746
lightweight trainer,3,1352.226900068381
lightweight trainer,4,1743.6792976752952
lightweight trainer,5,1808.444458517812
lightweight trainer,6,1146.1993009197815
lightweight trainer,7,1045.0280514465842
cross-trainer,1,421.84168818513126
cross-trainer,2,1046.1413523997885
cross-trainer,3,1629.3404007525858
cross-trainer,4,1800.9910653982524
cross-trainer,5,1205.9541340301907
cross-trainer,6,1178.052665142328
cross-trainer,7,1349.2866222674231
trail,1,1000.0
trail,2,1428.10450514244
trail,3,1605.725847272424
trail,4,1565.7729733813057
trail,5,1416.017929990859
trail,6,1045.692031295637
trail,7,1912.1599956940656
