id,brand,model,color,click
0,Nissan,Maxima,black,0
1,Honda,Fit,dark-blue,0
2,Ford,Fiesta,white,1
3,Chevy,Cruze,silver,1
4,Ford,Focus,blue,0
5,Ford,Explorer,red,0
6,Ford,Fiesta,dark-blue,1
7,Honda,Civic,dark-blue,1
8,Ford,Escape,red,0
9,Honda,Civic,white,0
10,Nissan,Pathfinder,red,0
11,Nissan,Juke,red,1
12,Nissan,Altima,red,0
13,Nissan,Versa,black,1
14,Toyota,Corolla,black,0
15,Ford,Focus,white,1
16,Ford,Mustang,black,0
17,Nissan,Pathfinder,black,1
18,Toyota,RAV4,dark-blue,0
19,Chevy,Impala,white,0
20,Toyota,Camry,white,0
21,Toyota,4Runner,blue,0
22,Nissan,Versa,red,0
23,Honda,Odyssey,red,0
24,Toyota,Prius,silver,0
25,Toyota,Prius,white,0
26,Toyota,4Runner,blue,0
27,Ford,Explorer,black,0
28,Honda,Accord,red,1
29,Ford,Explorer,silver,0
30,Nissan,Juke,silver,0
31,Ford,Mustang,red,1
32,Toyota,RAV4,dark-blue,1
33,Honda,Fit,white,0
34,Honda,Accord,black,0
35,Ford,Mustang,blue,0
36,Ford,Mustang,blue,1
37,Toyota,Yaris,dark-blue,0
38,Chevy,Cruze,silver,0
39,Toyota,Yaris,silver,1
40,Ford,Focus,black,0
41,Ford,Mustang,blue,0
42,Honda,Fit,black,0
43,Ford,Escape,blue,0
44,Honda,Civic,red,1
45,Ford,Escape,white,0
46,Nissan,Altima,black,0
47,Chevy,Impala,black,0
48,Honda,CR-V,black,0
49,Nissan,Sentra,silver,0
50,Toyota,Yaris,silver,0
51,Ford,Escape,white,0
52,Honda,CR-V,blue,0
53,Nissan,Altima,white,1
54,Honda,Fit,black,1
55,Toyota,Corolla,silver,1
56,Toyota,RAV4,black,0
57,Ford,Explorer,dark-blue,0
58,Toyota,Prius,dark-blue,0
59,Chevy,Cruze,black,1
60,Toyota,4Runner,dark-blue,0
61,Nissan,Versa,white,0
62,Honda,Civic,silver,0
63,Chevy,Cruze,red,0
64,Nissan,Altima,blue,1
65,Ford,Escape,black,0
66,Nissan,Versa,red,0
67,Ford,Focus,silver,0
68,Nissan,Altima,blue,0
69,Nissan,Altima,silver,0
70,Toyota,Corolla,blue,0
71,Honda,Accord,red,0
72,Toyota,RAV4,blue,0
73,Nissan,Sentra,red,0
74,Nissan,Maxima,red,0
75,Nissan,Sentra,red,0
76,Ford,Focus,blue,0
77,Nissan,Altima,black,0
78,Toyota,4Runner,white,0
79,Honda,CR-V,white,0
80,Nissan,Versa,black,0
81,Chevy,Malibu,dark-blue,0
82,Chevy,Impala,red,0
83,Honda,Civic,black,1
84,Honda,Fit,black,1
85,Chevy,Cruze,blue,0
86,Honda,Civic,blue,0
87,Ford,Mustang,white,1
88,Ford,Fiesta,white,1
89,Ford,Explorer,dark-blue,0
90,Nissan,Pathfinder,dark-blue,0
91,Toyota,RAV4,black,0
92,Honda,CR-V,black,0
93,Chevy,Cruze,blue,0
94,Chevy,Malibu,black,0
95,Ford,Fiesta,dark-blue,0
96,Toyota,RAV4,dark-blue,1
97,Ford,Mustang,black,0
98,Nissan,Altima,red,1
99,Nissan,Juke,silver,0
100,Toyota,4Runner,white,0
101,Toyota,Camry,blue,1
102,Honda,CR-V,black,0
103,Nissan,Pathfinder,silver,0
104,Ford,Mustang,blue,0
105,Toyota,RAV4,white,0
106,Honda,CR-V,black,0
107,Nissan,Juke,red,1
108,Chevy,Sonic,red,1
109,Toyota,RAV4,dark-blue,0
110,Nissan,Versa,black,0
111,Honda,Civic,dark-blue,1
112,Toyota,Camry,white,0
113,Nissan,Sentra,blue,0
114,Toyota,Camry,blue,0
115,Chevy,Malibu,blue,0
116,Chevy,Malibu,white,0
117,Chevy,Malibu,white,0
118,Chevy,Impala,blue,1
119,Chevy,Camaro,silver,0
120,Toyota,RAV4,blue,0
121,Ford,Mustang,silver,0
122,Honda,Accord,red,0
123,Toyota,Yaris,white,1
124,Ford,Explorer,white,0
125,Ford,Focus,dark-blue,1
126,Honda,Fit,black,1
127,Nissan,Maxima,black,1
128,Honda,Fit,red,1
129,Nissan,Maxima,silver,1
130,Honda,Civic,white,0
131,Honda,Accord,blue,0
132,Chevy,Camaro,red,0
133,Honda,CR-V,black,1
134,Ford,Mustang,red,1
135,Honda,Odyssey,white,1
136,Toyota,Camry,dark-blue,0
137,Nissan,Versa,blue,0
138,Honda,Accord,black,0
139,Ford,Escape,black,1
140,Honda,Fit,dark-blue,0
141,Honda,CR-V,dark-blue,0
142,Nissan,Maxima,black,1
143,Toyota,Yaris,dark-blue,0
144,Chevy,Malibu,dark-blue,0
145,Toyota,Prius,blue,0
146,Ford,Fiesta,black,1
147,Chevy,Impala,white,0
148,Nissan,Pathfinder,silver,0
149,Honda,CR-V,blue,0
150,Honda,Fit,blue,0
151,Toyota,Yaris,black,0
152,Nissan,Sentra,silver,0
153,Ford,Focus,blue,0
154,Nissan,Sentra,white,0
155,Chevy,Sonic,red,1
156,Ford,Mustang,silver,0
157,Chevy,Sonic,silver,0
158,Nissan,Sentra,white,1
159,Ford,Focus,dark-blue,1
160,Honda,Civic,red,1
161,Honda,Civic,red,0
162,Chevy,Sonic,black,0
163,Honda,Civic,dark-blue,0
164,Honda,Odyssey,dark-blue,1
165,Chevy,Sonic,blue,0
166,Chevy,Malibu,dark-blue,0
167,Ford,Escape,black,1
168,Nissan,Maxima,red,0
169,Chevy,Camaro,blue,1
170,Toyota,Camry,red,0
171,Toyota,Yaris,silver,0
172,Honda,Fit,red,0
173,Honda,Accord,white,0
174,Honda,Civic,dark-blue,0
175,Nissan,Sentra,red,0
176,Ford,Explorer,silver,0
177,Chevy,Cruze,white,0
178,Honda,Civic,silver,0
179,Nissan,Sentra,silver,0
180,Ford,Explorer,white,0
181,Chevy,Cruze,white,1
182,Chevy,Sonic,black,0
183,Chevy,Camaro,black,0
184,Toyota,Camry,dark-blue,0
185,Nissan,Juke,silver,0
186,Nissan,Sentra,dark-blue,0
187,Honda,Odyssey,blue,0
188,Honda,Accord,red,0
189,Toyota,Corolla,silver,0
190,Chevy,Impala,white,0
191,Nissan,Maxima,red,0
192,Honda,Accord,red,0
193,Ford,Mustang,black,0
194,Nissan,Juke,white,0
195,Honda,CR-V,black,0
196,Honda,Accord,dark-blue,0
197,Honda,Odyssey,black,0
198,Nissan,Maxima,dark-blue,0
199,Ford,Explorer,black,0
200,Nissan,Juke,red,0
201,Chevy,Malibu,blue,0
202,Chevy,Camaro,white,0
203,Ford,Focus,black,0
204,Honda,CR-V,black,0
205,Nissan,Versa,red,0
206,Toyota,Corolla,black,1
207,Honda,Civic,black,0
208,Honda,Accord,white,0
209,Toyota,Camry,black,0
210,Nissan,Sentra,dark-blue,0
211,Honda,Accord,red,0
212,Honda,Odyssey,dark-blue,0
213,Nissan,Juke,white,0
214,Honda,Accord,red,1
215,Toyota,Prius,dark-blue,0
216,Chevy,Malibu,red,0
217,Honda,Odyssey,black,0
218,Chevy,Sonic,red,1
219,Chevy,Cruze,blue,1
220,Nissan,Juke,black,0
221,Chevy,Malibu,silver,0
222,Honda,Odyssey,blue,1
223,Ford,Focus,red,0
224,Nissan,Maxima,red,0
225,Ford,Explorer,blue,1
226,Honda,Civic,red,1
227,Chevy,Cruze,silver,0
228,Ford,Mustang,black,0
229,Ford,Fiesta,blue,1
230,Chevy,Camaro,red,1
231,Toyota,Camry,red,1
232,Chevy,Sonic,white,0
233,Ford,Fiesta,white,1
234,Ford,Fiesta,silver,0
235,Nissan,Versa,white,1
236,Toyota,RAV4,white,0
237,Honda,Odyssey,silver,0
238,Nissan,Sentra,silver,0
239,Honda,Civic,silver,0
240,Honda,Accord,silver,1
241,Nissan,Sentra,red,0
242,Ford,Focus,black,0
243,Ford,Explorer,black,0
244,Nissan,Sentra,red,1
245,Toyota,Prius,dark-blue,1
246,Ford,Focus,black,0
247,Nissan,Altima,dark-blue,1
248,Nissan,Versa,white,0
249,Nissan,Versa,silver,0
250,Ford,Fiesta,black,1
251,Ford,Explorer,blue,0
252,Ford,Fiesta,silver,0
253,Chevy,Camaro,white,1
254,Toyota,Camry,red,0
255,Toyota,RAV4,red,0
256,Honda,Civic,black,0
257,Chevy,Malibu,silver,1
258,Toyota,4Runner,white,0
259,Honda,Civic,dark-blue,0
260,Toyota,4Runner,dark-blue,1
261,Honda,Civic,black,0
262,Honda,Odyssey,red,0
263,Toyota,4Runner,red,0
264,Nissan,Juke,dark-blue,0
265,Nissan,Altima,white,0
266,Ford,Focus,white,0
267,Ford,Escape,white,0
268,Nissan,Altima,dark-blue,0
269,Nissan,Juke,black,0
270,Ford,Escape,black,0
271,Chevy,Cruze,dark-blue,1
272,Nissan,Sentra,blue,1
273,Honda,Accord,dark-blue,0
274,Nissan,Versa,dark-blue,0
275,Ford,Fiesta,silver,0
276,Nissan,Pathfinder,blue,1
277,Chevy,Malibu,dark-blue,0
278,Ford,Focus,dark-blue,0
279,Chevy,Cruze,dark-blue,0
280,Nissan,Sentra,silver,0
281,Ford,Explorer,blue,0
282,Toyota,Camry,white,0
283,Nissan,Juke,red,1
284,Chevy,Camaro,silver,1
285,Toyota,Corolla,dark-blue,1
286,Toyota,4Runner,black,0
287,Nissan,Maxima,blue,0
288,Honda,Accord,silver,0
289,Toyota,Yaris,silver,0
290,Nissan,Altima,silver,0
291,Ford,Explorer,black,0
292,Honda,Civic,black,0
293,Nissan,Versa,red,0
294,Nissan,Sentra,blue,0
295,Chevy,Malibu,silver,1
296,Nissan,Altima,blue,1
297,Ford,Explorer,white,1
298,Honda,Accord,blue,1
299,Nissan,Versa,silver,1
300,Ford,Fiesta,white,0
301,Honda,CR-V,silver,0
302,Nissan,Pathfinder,black,0
303,Toyota,Prius,dark-blue,1
304,Chevy,Camaro,dark-blue,1
305,Chevy,Malibu,black,0
306,Toyota,Corolla,silver,0
307,Toyota,Prius,blue,0
308,Honda,Accord,silver,0
309,Chevy,Cruze,silver,1
310,Honda,Civic,dark-blue,0
311,Ford,Fiesta,blue,0
312,Chevy,Malibu,dark-blue,1
313,Chevy,Sonic,red,1
314,Ford,Fiesta,silver,0
315,Ford,Explorer,black,0
316,Nissan,Pathfinder,dark-blue,0
317,Toyota,Prius,blue,0
318,Ford,Fiesta,red,0
319,Chevy,Impala,red,0
320,Chevy,Camaro,dark-blue,1
321,Ford,Explorer,black,0
322,Toyota,Prius,silver,1
323,Ford,Explorer,white,0
324,Toyota,Corolla,red,0
325,Nissan,Altima,silver,0
326,Nissan,Juke,dark-blue,0
327,Honda,CR-V,silver,0
328,Toyota,Prius,white,0
329,Nissan,Altima,silver,0
330,Honda,CR-V,white,0
331,Toyota,Camry,black,0
332,Honda,Odyssey,red,1
333,Toyota,Prius,dark-blue,0
334,Nissan,Versa,red,0
335,Chevy,Impala,black,0
336,Honda,Civic,dark-blue,0
337,Toyota,4Runner,dark-blue,0
338,Chevy,Sonic,blue,1
339,Honda,CR-V,white,0
340,Chevy,Cruze,black,0
341,Toyota,Camry,red,0
342,Toyota,Camry,black,1
343,Toyota,RAV4,blue,0
344,Nissan,Altima,blue,1
345,Ford,Fiesta,dark-blue,0
346,Ford,Explorer,dark-blue,1
347,Nissan,Sentra,black,0
348,Honda,CR-V,blue,0
349,Nissan,Juke,white,0
350,Nissan,Maxima,black,0
351,Nissan,Altima,blue,0
352,Ford,Escape,white,0
353,Honda,Accord,red,0
354,Chevy,Impala,blue,1
355,Nissan,Versa,black,1
356,Nissan,Pathfinder,black,0
357,Nissan,Versa,dark-blue,1
358,Ford,Fiesta,blue,0
359,Honda,Accord,black,0
360,Honda,Fit,dark-blue,1
361,Toyota,Yaris,red,0
362,Chevy,Malibu,red,0
363,Honda,Accord,blue,0
364,Honda,Accord,red,0
365,Nissan,Pathfinder,silver,0
366,Honda,Civic,red,0
367,Ford,Focus,black,0
368,Nissan,Versa,dark-blue,0
369,Toyota,Yaris,red,0
370,Honda,Civic,silver,0
371,Ford,Escape,dark-blue,0
372,Nissan,Pathfinder,black,0
373,Honda,Fit,black,0
374,Nissan,Altima,blue,1
375,Ford,Fiesta,dark-blue,0
376,Honda,CR-V,white,0
377,Chevy,Cruze,black,0
378,Nissan,Juke,black,0
379,Ford,Focus,silver,0
380,Toyota,RAV4,black,0
381,Chevy,Sonic,silver,0
382,Nissan,Maxima,black,0
383,Chevy,Malibu,blue,0
384,Chevy,Impala,white,1
385,Honda,Odyssey,red,0
386,Nissan,Juke,white,0
387,Honda,Accord,white,0
388,Honda,Odyssey,black,1
389,Honda,CR-V,dark-blue,1
390,Ford,Focus,white,0
391,Chevy,Impala,silver,0
392,Ford,Explorer,dark-blue,0
393,Chevy,Malibu,dark-blue,1
394,Toyota,Camry,silver,0
395,Chevy,Cruze,white,1
396,Honda,Odyssey,silver,1
397,Nissan,Altima,blue,0
398,Ford,Explorer,black,0
399,Chevy,Malibu,dark-blue,0
400,Toyota,Corolla,blue,0
401,Ford,Focus,dark-blue,0
402,Nissan,Juke,white,0
403,Honda,Odyssey,blue,0
404,Toyota,RAV4,blue,0
405,Chevy,Cruze,white,1
406,Nissan,Altima,blue,0
407,Ford,Fiesta,blue,1
408,Toyota,Camry,blue,0
409,Nissan,Altima,dark-blue,0
410,Honda,Odyssey,black,0
411,Ford,Fiesta,silver,0
412,Toyota,Prius,black,1
413,Toyota,RAV4,blue,0
414,Nissan,Maxima,black,1
415,Ford,Escape,silver,0
416,Nissan,Altima,dark-blue,0
417,Nissan,Altima,red,0
418,Nissan,Pathfinder,white,0
419,Toyota,Camry,white,1
420,Chevy,Sonic,white,1
421,Honda,Civic,dark-blue,1
422,Chevy,Cruze,red,0
423,Toyota,Prius,dark-blue,0
424,Chevy,Malibu,dark-blue,1
425,Chevy,Camaro,red,0
426,Nissan,Pathfinder,blue,1
427,Nissan,Sentra,blue,0
428,Chevy,Cruze,silver,0
429,Nissan,Sentra,white,1
430,Chevy,Impala,dark-blue,0
431,Ford,Focus,dark-blue,1
432,Chevy,Impala,white,0
433,Nissan,Maxima,white,0
434,Chevy,Camaro,black,0
435,Ford,Mustang,white,0
436,Nissan,Sentra,blue,0
437,Toyota,4Runner,dark-blue,0
438,Toyota,Camry,red,1
439,Honda,Civic,dark-blue,0
440,Toyota,Camry,black,0
441,Ford,Explorer,silver,0
442,Honda,Odyssey,dark-blue,0
443,Nissan,Juke,red,0
444,Honda,Accord,red,0
445,Honda,CR-V,red,0
446,Nissan,Maxima,white,0
447,Honda,Fit,red,1
448,Ford,Mustang,white,0
449,Ford,Mustang,white,0
450,Chevy,Sonic,blue,0
