id,claim
0,civil building
1,Artery recovery Rendering Fracture Hospitals Headaches protection facilities Interurban Nerve Ligaments Medications Bruising Heavy bus Injuries home foundries Rib leather fabric manufacturing Defective meat manufacturing
2,Brain except Scheduled services Fracture Steel Artery Herniated Tendons Rib metal  Manufactured Other  Fracture Travel Pinched tire Quadriplegia Injuries civil leather facilities Heavy Chest Brain Headaches  Injury
3,Materials Injury Quadriplegia manufacturing Hip Injury Hospitals Abrasion Injuries air  trailer except Disc Veterinary home manufacturing  passenger
4,foundries Correctional  farming except Joint Artery Injuries Truck Flail Coronary investment Hypothermia protection Iron nonferrous trailer Heavy Disc Chest building Products manufacturing Rendering Tendons Disease Quadriplegia meat
5,trailer Cluster facilities passenger  Injury residential Fascia manufacturing Disease foundries institutions Nursing Injuries wood home Fire
6,Traumatic tire Hemothorax Tendons Materials  Cord facilities except Dislocation recovery Fire Temporalmibular Pointer Failure
7,Heavy Pinched twine institutions tire manufacturing Dislocation Fascia manufacturing Travel
8,Truck Burns investment home
9,manufacturing Fracture engineering Construction Rope  care farming Cord Concussions mills
10,care Police Fracture Quadriplegia
11,Brain Brain Travel Herniated tire Rib Medications 
12,services wood leather Injury Pinched Traumatic Prefabricated manufacturing  trailer Hospitals
13,investment trailer Defective except processing
14,except Steel services Bruising Other Injury Joint Sciatica Fracture
15,cord
16,Tendons services Pinched  meat Hemothorax Joint Herniated Injuries engineering  Prefabricated mobile Hypothermia metal Failure Injury rural Traumatic Abrasion Ligaments except diecasting Fracture
17,Manufactured recovery Definition  Interurban Headaches Correctional manufacturing goods farming care Chest residential Traumatic Rendering Temporalmibular home  Rope Defective  Sciatica Herniated Prescription leather manufacturing
18,nonferrous Iron foundries Ligaments stores  manufacturing wood Injury engineering manufacturing  protection processing meat Hip camper trailer Pneumothorax air  leather
19,Quadriplegia Construction Prescription civil  diecasting manufacturing Spinal air Sciatica Headaches Coronary Fascia Fire home Chest  foundries Heavy tire transportation Medications Lacerations Defective cordage except 
20,construction building  Chest except Pointer Bruising Joint Flail
21,Lacerations home mobile bus Aluminum Flail construction fabric Tendons institutions Chest
22,foundries air Hog facilities  Cluster Rib Injury civil Nursing Pneumothorax investment
23,Heart Concussions metal
24,Construction Injury Veterinary Lacerations facilities Pointer trailer except manufacturing diecasting Chest Injury manufacturing pig Fire farming Travel processing Joint facilities tire institutions foundries care mobile Products Correctional Nerve
25,Injuries Burns Manufactured Iron Lacerations goods byproduct Materials Hospitals construction Coronary Fire Injury Temporalmibular
26,Prefabricated Hip Failure byproduct Heavy foundries Disc institutions Aluminum Hypothermia
27,Rib foundries Skiing Prescription farming facilities Prefabricated Quadriplegia engineering Manufactured
28, Concussions protection protection manufacturing Hospitals Injuries
29,Traumatic metal Other Joint  home Hog Definition Ambulance foundries diecasting civil Manufactured services Defective building foundries Bruising  recovery camper Temporalmibular  services wood bus Dislocation
30,Construction protection tire
31,Injury facilities Prescription foundries Correctional  Truss Concussions Coronary Hypothermia fabric Lacerations tire home mobile construction engineering Dislocation foundries farming protection Materials Other Hip
32,Cluster Travel construction trailer Coronary Pinched Disease mills Heavy civil pig Injuries byproduct Lacerations Injury Abrasion Truss Injury Joint facilities manufacturing goods Fire Other Luggage Materials
33,Travel byproduct facilities institutions Temporalmibular care Headaches Hog Cluster Injury manufacturing services cord Bruising farming except goods processing nonferrous Congestive Products Failure Fracture Ambulance Dislocation manufacturing except Hemothorax
34,trailer twine  Pinched Injuries Congestive Materials foundries manufacturing
35,Bruising home Ambulance mills  fabric Disease leather Aluminum except Congestive Chest Truck Traumatic air  Materials investment Travel Skiing Correctional residential Disc processing
36,Products
37,care 
38,protection
39,engineering Fracture building twine foundries Pinched Injury Steel bus Hip Scheduled Cord farming nonferrous Cluster byproduct wood
40,Cord farming residential
41,foundries Manufactured Skiing Fascia air Aluminum camper cord Injury Pointer
42,Medications
43,Disc Ligaments engineering
44,processing byproduct Products
45,cord protection Brain Prefabricated Hip Pointer tire building Injuries Truss Aluminum Fracture except Burns protection Injury Traumatic manufacturing recovery construction
