id,run-times
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3
9,2
10,1
11,4
12,0
13,3
14,0
15,2
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,3
24,2
25,2
26,0
27,2
28,0
29,0
30,0
31,3
32,2
33,2
34,0
35,0
36,0
37,0
38,0
39,2
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,4
52,0
53,1
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,3
64,3
65,0
66,0
67,1
68,3
69,3
70,0
71,0
72,5
73,2
74,0
75,0
76,0
77,0
78,3
79,0
80,2
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,3
89,0
90,0
91,0
92,3
93,0
94,3
95,3
96,0
97,0
98,1
99,0
100,0
101,0
102,2
103,0
104,4
105,0
106,0
107,5
108,0
109,1
110,0
111,3
112,0
113,0
114,0
115,0
116,0
117,0
118,2
119,0
120,4
121,0
122,0
123,0
124,0
125,2
126,0
127,3
128,0
129,2
130,1
131,0
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,3
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,2
149,1
150,0
151,3
152,0
153,0
154,3
155,2
156,0
157,3
158,0
159,0
160,2
161,1
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,2
171,0
172,5
173,0
174,1
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,1
186,3
187,0
188,0
189,0
190,0
191,2
192,2
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,2
202,1
203,2
204,0
205,0
206,0
207,4
208,2
209,0
210,0
211,0
212,3
213,1
214,0
215,2
216,0
217,1
218,0
219,0
220,2
221,0
222,0
223,0
224,0
225,3
226,0
227,0
228,0
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,1
249,0
250,0
251,2
252,0
253,0
254,0
255,0
256,3
257,0
258,0
259,4
260,0
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,2
270,0
271,0
272,2
273,0
274,5
275,0
276,0
277,0
278,0
279,1
280,0
281,3
282,2
283,0
284,0
285,0
286,0
287,4
288,3
289,0
290,3
291,0
292,0
293,0
294,0
295,0
296,0
297,2
298,0
299,0
300,3
301,1
302,0
303,4
304,0
305,0
306,0
307,3
308,1
309,2
310,1
311,0
312,3
313,0
314,0
315,0
316,0
317,0
318,3
319,2
320,0
321,0
322,0
323,0
324,5
325,0
326,1
327,0
328,0
329,2
330,0
331,2
332,4
333,3
334,0
335,0
336,2
337,0
338,1
339,0
340,0
341,0
342,0
343,0
344,0
345,3
346,1
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,3
358,0
359,0
360,2
361,0
362,0
363,0
364,0
365,0
366,1
367,2
368,2
369,0
370,4
371,0
372,4
373,1
374,0
375,2
376,3
377,0
378,0
379,0
380,3
381,0
382,3
383,0
384,0
385,0
386,2
387,1
388,0
389,1
390,3
391,0
392,0
393,2
394,0
395,4
396,0
397,4
398,2
399,1
400,0
401,0
402,0
403,0
404,1
405,3
406,0
407,2
408,3
409,0
410,0
411,2
412,1
413,2
414,3
415,3
416,4
417,0
418,0
419,0
420,0
421,3
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,3
441,3
442,0
443,0
444,3
445,3
446,0
447,3
448,3
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,4
460,0
461,0
462,0
463,0
464,0
465,0
466,3
467,0
468,2
469,3
470,0
471,1
472,1
473,5
474,0
475,3
476,2
477,0
478,0
479,3
480,1
481,0
482,0
483,2
484,0
485,0
486,0
487,0
488,2
489,0
490,0
491,0
492,2
493,0
494,0
495,0
496,0
497,0
498,4
499,1
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,2
511,0
512,0
513,1
514,0
515,0
516,0
517,2
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,0
526,2
527,1
528,0
529,3
530,0
531,1
532,0
533,0
534,3
535,1
536,0
537,0
538,0
539,0
540,5
541,0
542,0
543,0
544,0
545,0
546,3
547,0
548,2
549,2
550,0
551,0
552,0
553,0
554,0
555,2
556,0
557,0
558,0
559,4
560,2
561,0
562,0
563,0
564,0
565,0
566,0
567,2
568,0
569,5
570,0
571,0
572,3
573,0
574,1
575,0
576,0
577,4
578,4
579,0
580,0
581,5
582,0
583,0
584,3
585,1
586,0
587,4
588,1
589,2
590,1
591,0
592,2
593,1
594,3
595,2
596,0
597,2
598,0
599,3
600,5
601,0
602,3
603,1
604,0
605,3
606,4
607,1
608,0
609,0
610,3
611,0
612,0
613,0
614,0
615,2
616,3
617,0
618,2
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,3
627,3
628,0
629,0
630,0
631,0
632,0
633,0
634,2
635,1
636,0
637,0
638,0
639,2
640,0
641,2
642,0
643,0
644,3
645,1
646,0
647,1
648,2
649,4
650,4
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,0
659,0
660,5
661,5
662,0
663,2
664,0
665,1
666,0
667,0
668,3
669,3
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,4
678,2
679,0
680,0
681,1
682,0
683,1
684,0
685,2
686,0
687,5
688,1
689,0
690,3
691,0
692,0
693,0
694,2
695,4
696,0
697,0
698,0
699,0
700,0
701,2
702,0
703,0
704,0
705,3
706,0
707,0
708,2
709,0
710,0
711,0
712,0
713,0
714,0
715,1
716,1
717,0
718,0
719,0
720,3
721,3
722,0
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,2
734,0
735,0
736,3
737,5
738,1
739,1
740,0
741,0
742,0
743,0
744,3
745,0
746,0
747,0
748,0
749,3
750,2
751,0
752,0
753,3
754,0
755,2
756,3
757,2
758,3
759,0
760,2
761,3
762,2
763,0
764,2
765,0
766,1
767,1
768,0
769,3
770,0
771,0
772,2
773,0
774,2
775,0
776,0
777,0
778,3
779,0
780,3
781,0
782,0
783,5
784,0
785,0
786,2
787,0
788,0
789,0
790,0
791,0
792,0
793,2
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,4
802,2
803,5
804,1
805,0
806,1
807,1
808,0
809,0
810,3
811,0
812,0
813,4
814,0
815,4
816,0
817,2
818,0
819,0
820,0
821,3
822,3
823,0
824,0
825,1
826,1
827,2
828,0
829,0
830,0
831,0
832,3
833,0
834,4
835,2
836,0
837,3
838,0
839,0
840,0
841,5
842,0
843,0
844,0
845,3
846,0
847,2
848,0
849,0
850,0
851,1
852,0
853,4
854,0
855,0
856,0
857,0
858,0
859,3
860,0
861,0
862,0
863,0
864,0
865,2
866,0
867,1
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,1
879,2
880,0
881,0
882,3
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,1
895,5
896,0
897,0
898,0
899,1
900,2
901,0
902,5
903,0
904,1
905,3
906,2
907,2
908,1
909,0
910,4
911,0
912,0
913,1
914,0
915,2
916,0
917,0
918,1
919,2
920,3
921,1
922,3
923,0
924,0
925,0
926,0
927,0
928,0
929,2
930,1
931,0
932,0
933,3
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,4
942,3
943,1
944,0
945,0
946,0
947,0
948,0
949,1
950,2
951,2
952,0
953,2
954,0
955,0
956,0
957,2
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,4
970,0
971,3
972,0
973,0
974,0
975,0
976,4
977,2
978,0
979,0
980,3
981,0
982,0
983,0
984,0
985,3
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,3
996,0
997,0
998,0
999,3
1000,0
1001,2
1002,0
1003,0
1004,0
1005,0
1006,0
1007,3
1008,3
1009,0
1010,1
1011,0
1012,0
1013,2
1014,0
1015,3
1016,0
1017,0
1018,0
1019,1
1020,5
1021,0
1022,1
1023,0
1024,2
1025,1
1026,0
1027,0
1028,0
1029,0
1030,5
1031,0
1032,0
1033,1
1034,0
1035,3
1036,1
1037,1
1038,3
1039,0
1040,4
1041,0
1042,0
1043,3
1044,1
1045,0
1046,2
1047,0
1048,0
1049,1
1050,0
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,0
1059,2
1060,0
1061,0
1062,4
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,2
1074,0
1075,0
1076,0
1077,0
1078,1
1079,3
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,1
1094,0
1095,1
1096,0
1097,0
1098,2
1099,1
1100,0
1101,0
1102,0
1103,0
1104,1
1105,3
1106,2
1107,0
1108,0
1109,3
1110,3
1111,0
1112,3
1113,1
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,4
1121,0
1122,0
1123,0
1124,2
1125,0
1126,2
1127,0
1128,1
1129,0
1130,3
1131,0
1132,1
1133,0
1134,0
1135,0
1136,5
1137,5
1138,0
1139,1
1140,0
1141,0
1142,0
1143,5
1144,0
1145,0
1146,0
1147,4
1148,0
1149,0
1150,0
1151,0
1152,4
1153,1
1154,2
1155,0
1156,3
1157,0
1158,1
