id,run-times,shoe-has-cool-features,shoe-has-colors,bought
0,2,0,0,N
1,1,0,1,N
2,0,0,0,N
3,0,0,1,N
4,5,0,1,Y
5,3,1,1,Y
6,1,1,0,Y
7,1,0,1,Y
8,4,0,1,Y
9,2,1,1,Y
10,3,0,0,Y
11,1,0,1,Y
12,2,0,0,N
13,2,0,1,Y
14,2,0,0,N
15,1,0,1,Y
16,1,0,0,N
17,0,0,0,N
18,4,0,1,Y
19,3,0,1,Y
20,2,0,0,N
21,4,1,1,Y
22,3,0,1,Y
23,2,0,1,N
24,4,0,1,Y
25,2,1,0,N
26,1,0,0,N
27,2,0,1,N
28,2,0,0,N
29,5,1,1,Y
30,3,1,1,Y
31,0,0,1,Y
32,0,0,1,Y
33,5,0,1,Y
34,2,0,1,Y
35,1,0,1,Y
36,0,0,1,Y
37,2,0,1,N
38,3,0,1,Y
39,2,0,0,N
40,0,1,0,Y
41,5,1,0,Y
42,2,0,1,N
43,2,1,1,N
44,4,1,1,Y
45,0,0,1,Y
46,5,1,1,Y
47,2,1,1,Y
48,1,0,0,Y
49,3,0,1,Y
50,2,0,0,N
51,0,0,1,N
52,2,0,0,N
53,3,0,1,Y
54,5,0,0,Y
55,0,0,1,Y
56,2,0,0,N
57,1,0,0,N
58,1,0,1,Y
59,1,0,0,N
60,4,1,1,Y
61,1,0,0,N
62,3,0,1,Y
63,2,1,1,Y
64,2,1,0,N
65,2,0,1,Y
66,0,1,0,N
67,5,0,0,Y
68,1,0,0,N
69,1,0,1,N
70,1,0,0,N
71,0,0,1,N
72,0,0,0,N
73,4,0,0,Y
74,2,0,1,Y
75,4,0,1,Y
76,3,0,1,Y
77,5,0,0,Y
78,1,0,0,N
79,5,0,1,Y
80,0,0,1,Y
81,0,0,0,Y
82,2,0,0,N
83,5,1,1,Y
84,1,0,1,Y
85,0,0,0,N
86,2,0,0,N
87,1,0,1,N
88,4,0,1,Y
89,0,0,1,Y
90,1,1,1,Y
91,0,0,1,Y
