id,total-spend,payment-method
0,134.05,credit card
1,149.24,credit card
2,175.54,credit card
3,100.93,credit card
4,148.32,credit card
5,95.1,credit card
6,109.68,check
7,33.82,credit card
8,145.13,credit card
9,139.59,credit card
10,141.81,credit card
11,172.32,credit card
12,147.06,credit card
13,119.37,credit card
14,126.84,credit card
15,121.98,credit card
16,35.46,credit card
17,85.48,credit card
18,124.48,credit card
19,170.64,credit card
20,112.04,credit card
21,193.38,credit card
22,138.29,credit card
23,183.1,credit card
24,99.85,credit card
25,188.49,credit card
26,185.81,credit card
27,137.82,credit card
28,190.89,credit card
29,64.92,paypal
30,127.49,paypal
31,102.91,paypal
32,191.84,paypal
33,133.81,paypal
34,194.18,paypal
35,184.9,paypal
36,105.19,paypal
37,115.18,paypal
38,145.31,credit card
39,157.73,credit card
40,150.97,credit card
41,141.82,credit card
42,193.78,credit card
43,93.0,credit card
44,126.97,credit card
45,118.9,credit card
46,141.38,credit card
47,49.7,cash
48,179.74,cash
49,30.48,credit card
50,172.14,credit card
51,53.26,credit card
52,172.37,credit card
53,112.38,credit card
54,141.85,credit card
55,80.84,credit card
56,136.19,credit card
57,111.95,credit card
58,141.7,credit card
59,86.47,credit card
60,147.13,paypal
61,67.92,credit card
62,145.57,credit card
63,116.13,credit card
64,72.03,credit card
65,200.94,credit card
66,97.78,credit card
67,101.66,credit card
68,31.63,credit card
69,124.25,credit card
70,30.77,credit card
71,196.88,credit card
72,144.57,credit card
73,67.12,credit card
74,26.01,credit card
75,177.69,credit card
76,143.78,credit card
77,175.18,credit card
78,100.01,paypal
79,131.61,paypal
80,126.09,paypal
81,174.21,paypal
82,174.66,paypal
83,62.23,credit card
84,127.68,credit card
85,107.81,credit card
86,111.69,credit card
87,172.83,credit card
88,109.24,credit card
89,140.65,credit card
90,121.27,credit card
91,49.8,paypal
92,131.65,credit card
93,133.32,credit card
94,142.04,credit card
95,111.02,credit card
96,129.09,credit card
97,195.05,credit card
98,38.12,credit card
99,92.65,credit card
100,133.23,credit card
101,169.49,credit card
102,53.36,credit card
103,53.71,credit card
104,140.52,credit card
105,109.34,credit card
106,187.68,credit card
107,109.79,credit card
108,105.56,credit card
109,173.78,credit card
110,139.94,credit card
111,127.21,credit card
112,153.15,credit card
113,187.04,credit card
114,105.98,credit card
115,124.07,credit card
116,49.43,credit card
117,131.59,credit card
118,97.85,credit card
119,46.7,paypal
120,41.88,credit card
121,69.2,credit card
122,79.03,check
123,69.23,credit card
124,127.13,credit card
125,134.97,credit card
126,110.52,credit card
127,113.37,credit card
128,110.56,credit card
129,106.11,credit card
130,29.64,credit card
131,102.09,credit card
132,138.5,credit card
133,162.75,credit card
134,174.18,credit card
135,184.73,credit card
136,163.31,credit card
137,30.57,credit card
138,142.09,credit card
139,46.0,credit card
140,124.42,credit card
141,160.51,credit card
142,100.86,credit card
143,55.3,credit card
144,146.83,credit card
145,121.2,credit card
146,195.35,credit card
147,108.82,credit card
148,165.7,credit card
149,136.94,credit card
150,48.5,credit card
151,102.76,paypal
152,40.49,credit card
153,172.92,credit card
154,190.56,credit card
155,147.82,credit card
156,43.76,credit card
157,192.05,credit card
158,114.1,credit card
159,131.39,credit card
160,184.53,credit card
161,124.13,credit card
162,189.87,credit card
163,25.17,credit card
164,138.01,credit card
165,142.04,credit card
166,111.77,credit card
167,146.76,credit card
168,121.4,credit card
169,106.69,credit card
170,97.74,paypal
171,161.72,paypal
172,105.94,credit card
173,185.39,credit card
174,191.71,credit card
175,110.07,credit card
176,142.93,credit card
177,130.21,credit card
178,107.21,credit card
179,139.51,credit card
180,147.93,credit card
181,160.67,credit card
182,73.44,credit card
183,116.11,credit card
184,62.02,credit card
185,75.3,paypal
186,95.78,paypal
187,36.43,cash
188,111.45,credit card
189,143.98,credit card
190,99.16,credit card
191,78.1,credit card
192,133.01,credit card
193,177.37,credit card
194,194.65,credit card
195,75.87,paypal
196,163.11,paypal
197,169.8,paypal
198,151.09,paypal
199,101.64,credit card
200,41.4,credit card
201,23.04,credit card
202,97.9,credit card
203,141.62,credit card
204,122.85,credit card
205,125.43,credit card
206,78.9,credit card
207,90.07,credit card
208,42.54,credit card
209,146.6,credit card
210,157.94,credit card
211,64.33,credit card
212,148.94,credit card
213,103.73,credit card
214,40.0,credit card
215,131.08,paypal
216,154.64,paypal
217,163.57,paypal
218,149.11,paypal
219,121.33,credit card
220,142.4,credit card
221,144.66,credit card
222,31.81,cash
223,92.64,credit card
224,127.76,credit card
225,116.09,credit card
226,176.08,credit card
227,152.72,credit card
228,61.24,credit card
229,42.66,credit card
230,146.55,credit card
231,120.15,credit card
232,198.79,credit card
233,122.32,credit card
234,150.41,credit card
235,119.74,credit card
236,118.66,credit card
237,101.11,credit card
238,120.68,credit card
239,112.59,credit card
240,194.5,credit card
241,147.46,credit card
242,71.53,check
243,56.35,credit card
244,38.42,cash
245,108.26,cash
246,183.6,cash
247,157.79,cash
248,138.43,credit card
249,138.18,credit card
250,133.46,credit card
251,117.74,credit card
252,142.93,credit card
253,193.84,credit card
254,38.67,credit card
255,138.26,credit card
256,119.96,credit card
257,168.23,credit card
258,75.35,credit card
259,132.93,credit card
260,87.84,check
261,125.06,cash
262,136.23,credit card
263,193.37,credit card
264,187.67,credit card
265,149.25,credit card
266,179.38,credit card
267,82.34,check
268,28.6,credit card
269,157.21,credit card
270,147.01,credit card
271,177.43,credit card
272,25.8,paypal
273,94.38,paypal
274,191.79,paypal
275,171.56,paypal
276,102.25,credit card
277,144.82,credit card
278,149.04,credit card
279,181.61,credit card
280,154.66,credit card
281,123.45,paypal
282,188.16,paypal
283,67.09,credit card
284,110.42,credit card
285,189.45,credit card
286,111.8,credit card
287,123.08,credit card
288,82.13,paypal
289,159.06,paypal
290,64.55,credit card
291,84.36,credit card
292,156.08,credit card
293,110.37,credit card
294,113.8,credit card
295,49.72,cash
296,21.17,credit card
297,174.38,credit card
298,110.28,credit card
299,109.14,credit card
300,199.55,credit card
301,116.49,credit card
302,77.87,credit card
303,126.16,credit card
304,157.22,credit card
305,121.7,credit card
306,110.43,credit card
307,164.88,credit card
308,144.27,credit card
309,155.09,credit card
310,167.26,credit card
311,142.58,credit card
312,133.87,credit card
313,69.44,credit card
314,180.05,credit card
315,180.37,credit card
316,180.72,credit card
317,157.6,credit card
318,123.77,credit card
319,146.42,paypal
320,117.26,credit card
321,159.8,credit card
322,179.27,credit card
323,131.86,credit card
324,196.82,credit card
325,128.36,credit card
326,129.33,credit card
327,29.21,paypal
328,169.45,paypal
329,68.75,credit card
330,144.15,credit card
331,118.25,credit card
332,150.38,credit card
333,145.15,credit card
334,147.33,credit card
335,130.95,credit card
336,51.12,credit card
337,36.79,credit card
338,113.79,credit card
339,124.75,credit card
340,189.72,credit card
341,165.04,credit card
342,167.19,credit card
343,144.19,credit card
344,121.07,credit card
345,117.28,credit card
346,142.03,credit card
347,119.18,credit card
348,173.91,credit card
349,148.96,credit card
350,91.98,cash
351,101.03,cash
352,147.26,credit card
353,151.5,credit card
354,91.84,credit card
355,49.1,credit card
356,166.84,credit card
357,107.36,credit card
358,140.93,credit card
359,49.06,credit card
360,154.55,credit card
361,176.33,credit card
362,50.15,cash
363,150.89,cash
364,170.41,cash
365,115.62,credit card
366,123.24,credit card
367,182.92,credit card
368,171.04,credit card
369,200.3,credit card
370,80.66,credit card
371,131.33,credit card
372,180.5,credit card
373,150.69,credit card
374,99.34,credit card
375,20.46,credit card
376,98.51,check
377,74.11,credit card
378,156.25,credit card
379,97.99,paypal
380,138.39,cash
381,179.74,cash
382,102.28,cash
383,104.1,credit card
384,136.71,credit card
385,182.52,credit card
386,108.71,credit card
387,34.37,credit card
388,67.96,cash
389,37.13,paypal
390,185.83,paypal
391,58.39,credit card
