id,use_software,grade
0,1,2
1,0,1
2,1,1
3,1,4
4,1,1
5,0,4
6,1,3
7,1,2
8,0,1
9,1,1
10,0,1
11,1,4
12,0,2
13,0,1
14,1,3
15,1,3
16,1,4
17,1,3
18,1,4
19,1,4
20,1,1
21,1,2
22,1,4
23,1,4
24,0,4
25,0,3
26,1,4
27,1,3
28,1,3
29,1,1
30,1,1
31,1,3
32,0,1
33,0,2
34,1,1
35,0,2
36,0,4
37,1,3
38,0,3
39,0,1
40,0,4
41,0,2
42,1,1
43,0,2
44,0,1
45,1,2
46,0,2
47,1,3
48,1,3
49,0,1
50,1,2
51,0,4
52,0,2
53,1,1
54,0,2
55,1,3
56,1,4
57,0,2
58,1,4
59,1,3
60,0,1
61,0,1
62,1,3
63,0,1
64,1,1
65,1,4
66,0,1
67,1,1
68,0,1
69,1,2
70,1,4
71,0,2
72,0,4
73,1,4
74,1,3
75,1,3
76,1,4
77,1,3
78,0,2
79,1,2
80,1,4
81,0,4
82,1,4
83,0,1
84,1,3
85,0,2
86,0,1
87,1,3
88,0,1
89,1,3
90,1,3
91,0,1
92,1,4
93,1,2
94,0,3
95,0,2
96,1,1
97,0,1
98,1,3
99,1,2
100,1,2
101,1,3
102,1,4
103,1,3
104,1,3
105,1,1
106,1,4
107,1,1
108,1,3
109,1,3
110,0,3
111,1,4
112,1,4
113,1,1
114,0,4
115,1,4
116,1,4
117,0,3
118,1,2
119,0,3
120,0,3
121,0,3
122,0,3
123,0,3
124,1,3
125,0,1
126,1,2
127,1,3
128,1,4
129,1,4
130,1,3
131,1,2
132,1,3
133,0,4
134,1,4
135,1,3
136,1,1
137,1,1
138,0,2
139,1,3
140,1,2
141,1,2
142,1,2
143,0,1
144,0,3
145,1,3
146,1,1
147,0,3
148,1,2
149,1,3
150,1,3
151,0,3
152,1,1
153,1,3
154,0,3
155,0,2
156,1,4
157,1,2
158,1,1
159,1,1
160,1,3
161,1,3
162,0,1
163,1,1
164,0,3
165,0,3
166,1,3
167,0,3
168,1,3
169,1,4
170,1,4
171,1,4
172,1,4
173,1,4
