id,setting
0,studying
1,watching TV
2,shopping
3,waiting for bus
4,working
5,driving
6,dining
7,dining
8,walking
9,walking
10,driving
11,before sleep
12,before sleep
13,waiting for bus
14,working
15,watching TV
16,studying
17,shopping
18,dining
19,watching TV
20,driving
21,dining
22,walking
23,driving
24,working
25,driving
26,studying
27,walking
28,waiting for bus
29,driving
30,waiting for bus
31,dining
32,working
33,watching TV
34,walking
35,shopping
36,waiting for bus
37,dining
38,driving
39,walking
40,watching TV
41,walking
42,shopping
43,dining
44,dining
45,working
46,before sleep
47,working
48,dining
49,walking
50,dining
51,walking
52,driving
53,dining
54,waiting for bus
55,studying
56,waiting for bus
57,dining
58,shopping
59,dining
60,waiting for bus
61,dining
62,shopping
63,driving
64,studying
65,working
66,walking
67,before sleep
68,walking
69,shopping
70,walking
71,waiting for bus
72,driving
73,waiting for bus
74,waiting for bus
75,watching TV
76,watching TV
77,before sleep
78,driving
79,shopping
80,studying
81,driving
82,walking
83,dining
84,driving
85,shopping
86,watching TV
87,studying
88,driving
89,waiting for bus
90,driving
91,waiting for bus
92,driving
93,studying
94,driving
95,walking
96,watching TV
97,waiting for bus
98,driving
99,before sleep
100,before sleep
101,driving
102,shopping
103,working
104,waiting for bus
105,dining
106,dining
107,watching TV
108,watching TV
109,dining
110,waiting for bus
111,shopping
112,shopping
113,waiting for bus
114,dining
115,studying
116,working
117,studying
118,walking
119,working
120,walking
121,dining
122,dining
123,studying
124,dining
125,waiting for bus
126,walking
127,driving
128,studying
129,walking
130,studying
131,driving
132,driving
133,working
134,dining
135,waiting for bus
136,driving
137,waiting for bus
138,working
139,before sleep
140,driving
141,working
142,walking
143,before sleep
144,working
145,studying
146,shopping
147,walking
148,driving
149,shopping
150,walking
151,before sleep
152,before sleep
153,watching TV
154,before sleep
155,dining
156,working
157,working
158,walking
159,working
160,dining
161,dining
162,walking
163,waiting for bus
164,driving
165,working
166,studying
167,dining
168,driving
169,shopping
170,driving
171,dining
172,driving
173,driving
174,driving
175,driving
176,dining
177,before sleep
178,waiting for bus
179,driving
180,driving
181,waiting for bus
182,shopping
183,before sleep
184,studying
185,waiting for bus
186,dining
187,shopping
188,driving
189,driving
190,studying
191,driving
192,working
193,studying
194,driving
195,waiting for bus
196,shopping
197,walking
198,dining
199,studying
200,shopping
201,working
202,shopping
203,working
204,dining
205,watching TV
206,shopping
207,watching TV
208,waiting for bus
209,shopping
210,waiting for bus
211,walking
212,waiting for bus
213,waiting for bus
214,watching TV
215,driving
216,watching TV
217,waiting for bus
218,studying
219,studying
220,driving
221,before sleep
222,dining
223,working
224,working
225,dining
226,driving
227,driving
228,driving
229,studying
230,shopping
231,studying
232,driving
233,driving
234,working
235,walking
236,dining
237,before sleep
238,before sleep
239,shopping
240,studying
241,driving
242,watching TV
243,studying
244,waiting for bus
245,driving
246,walking
247,walking
248,driving
249,before sleep
250,waiting for bus
251,studying
252,working
253,before sleep
254,driving
255,studying
256,waiting for bus
257,waiting for bus
258,working
259,driving
260,walking
261,driving
262,waiting for bus
263,watching TV
264,driving
265,watching TV
266,driving
267,shopping
268,waiting for bus
269,waiting for bus
270,watching TV
271,working
272,studying
273,before sleep
274,waiting for bus
275,watching TV
276,studying
277,watching TV
278,driving
279,driving
280,dining
281,driving
282,waiting for bus
283,waiting for bus
284,watching TV
285,walking
286,working
287,working
288,walking
289,walking
290,walking
291,walking
292,driving
293,watching TV
294,driving
295,waiting for bus
296,before sleep
297,waiting for bus
298,watching TV
299,studying
300,shopping
301,before sleep
302,watching TV
303,driving
304,driving
305,before sleep
306,waiting for bus
307,before sleep
308,before sleep
309,shopping
310,driving
311,driving
312,walking
313,driving
314,walking
315,working
316,waiting for bus
317,shopping
318,walking
319,driving
320,driving
321,working
322,driving
323,walking
324,studying
325,waiting for bus
326,shopping
327,before sleep
328,working
329,shopping
330,working
331,waiting for bus
332,driving
333,dining
334,shopping
335,walking
336,driving
337,shopping
338,walking
339,before sleep
340,before sleep
341,walking
342,waiting for bus
343,driving
344,walking
345,watching TV
346,working
347,walking
348,driving
349,waiting for bus
350,walking
351,driving
352,walking
353,watching TV
354,walking
355,driving
356,waiting for bus
357,walking
358,waiting for bus
359,before sleep
360,watching TV
361,driving
362,driving
363,driving
364,walking
365,working
366,walking
367,shopping
368,waiting for bus
369,walking
370,walking
371,watching TV
372,walking
373,working
374,working
375,shopping
376,watching TV
377,shopping
378,studying
379,waiting for bus
380,shopping
381,shopping
382,watching TV
383,walking
384,waiting for bus
385,driving
386,driving
387,waiting for bus
388,watching TV
389,dining
390,working
391,driving
392,working
393,driving
394,studying
395,driving
396,driving
397,shopping
398,before sleep
399,waiting for bus
400,dining
401,dining
402,walking
403,dining
404,walking
405,watching TV
406,waiting for bus
407,driving
408,watching TV
409,shopping
410,studying
411,dining
412,walking
413,shopping
414,dining
415,walking
416,dining
417,watching TV
418,watching TV
419,watching TV
420,driving
421,walking
422,walking
423,dining
424,walking
425,working
426,watching TV
427,working
428,watching TV
429,waiting for bus
430,before sleep
431,walking
432,working
433,walking
434,studying
435,studying
436,studying
437,watching TV
438,working
439,watching TV
440,driving
441,dining
442,dining
443,watching TV
444,driving
445,walking
446,working
447,shopping
448,walking
449,before sleep
450,studying
451,walking
452,driving
453,walking
454,waiting for bus
455,walking
456,walking
457,walking
458,working
459,walking
460,before sleep
461,studying
462,before sleep
463,studying
464,driving
465,waiting for bus
466,studying
467,dining
468,watching TV
469,dining
470,driving
471,waiting for bus
472,driving
473,waiting for bus
474,driving
475,walking
476,driving
477,before sleep
478,walking
479,shopping
480,driving
481,driving
482,shopping
483,working
484,working
485,working
486,before sleep
487,watching TV
488,watching TV
489,before sleep
490,before sleep
491,waiting for bus
492,walking
493,waiting for bus
494,walking
495,waiting for bus
496,driving
497,watching TV
498,shopping
499,waiting for bus
500,walking
501,watching TV
502,walking
503,before sleep
504,driving
505,driving
506,driving
507,before sleep
508,watching TV
509,studying
510,before sleep
511,driving
512,walking
513,shopping
514,shopping
515,studying
516,driving
517,dining
518,studying
519,before sleep
520,driving
521,waiting for bus
522,waiting for bus
523,waiting for bus
524,shopping
525,watching TV
526,driving
527,driving
528,before sleep
529,walking
530,waiting for bus
531,dining
532,studying
533,dining
534,before sleep
535,working
536,driving
537,driving
538,driving
539,driving
540,dining
541,driving
542,shopping
543,shopping
544,walking
545,driving
546,watching TV
547,waiting for bus
548,working
549,driving
550,waiting for bus
551,dining
552,driving
553,driving
554,shopping
555,walking
556,waiting for bus
557,watching TV
558,watching TV
559,shopping
560,dining
561,shopping
562,watching TV
563,driving
564,shopping
565,driving
566,driving
567,dining
568,walking
569,waiting for bus
570,shopping
571,working
572,before sleep
573,working
574,driving
575,walking
576,driving
577,walking
578,working
579,driving
580,walking
581,driving
582,shopping
583,driving
584,working
585,waiting for bus
586,studying
587,dining
588,driving
589,driving
590,shopping
591,walking
592,walking
593,dining
594,before sleep
595,before sleep
596,studying
597,walking
598,driving
599,studying
600,shopping
601,walking
602,walking
603,working
604,walking
605,dining
606,driving
607,shopping
608,walking
609,dining
610,shopping
611,dining
612,watching TV
613,waiting for bus
614,driving
615,walking
616,shopping
617,working
618,waiting for bus
619,working
620,shopping
621,shopping
622,working
623,dining
624,walking
625,working
626,driving
627,before sleep
628,dining
629,shopping
630,studying
631,walking
632,before sleep
633,waiting for bus
634,walking
635,driving
636,driving
637,watching TV
638,shopping
639,shopping
640,studying
641,before sleep
642,walking
643,shopping
644,waiting for bus
645,walking
646,shopping
647,driving
648,working
649,shopping
650,walking
651,dining
652,working
653,driving
654,waiting for bus
655,watching TV
656,before sleep
657,walking
658,waiting for bus
659,walking
660,studying
661,before sleep
662,waiting for bus
663,driving
664,before sleep
665,walking
666,walking
667,shopping
668,dining
669,waiting for bus
670,waiting for bus
671,shopping
672,working
673,studying
674,driving
675,waiting for bus
676,walking
677,shopping
678,before sleep
679,working
680,dining
681,driving
682,walking
683,driving
684,driving
685,watching TV
686,working
687,walking
688,dining
689,dining
690,watching TV
691,shopping
692,driving
693,watching TV
694,driving
695,walking
696,walking
697,watching TV
698,shopping
699,watching TV
700,studying
701,driving
702,before sleep
703,driving
704,watching TV
705,waiting for bus
706,watching TV
707,walking
708,driving
709,before sleep
710,working
711,walking
712,working
713,watching TV
714,walking
715,walking
716,walking
717,studying
718,driving
719,walking
720,driving
721,walking
722,watching TV
723,driving
724,studying
725,shopping
726,driving
727,driving
728,dining
729,driving
730,driving
731,driving
732,waiting for bus
733,studying
734,driving
735,shopping
736,shopping
737,walking
738,before sleep
739,walking
740,driving
741,before sleep
742,watching TV
743,watching TV
744,walking
745,watching TV
746,driving
747,waiting for bus
748,driving
749,working
750,before sleep
751,shopping
752,walking
753,walking
754,walking
755,shopping
756,working
757,working
758,driving
759,watching TV
760,dining
761,working
762,studying
763,walking
764,watching TV
765,before sleep
766,waiting for bus
767,working
768,before sleep
769,walking
770,walking
771,driving
772,studying
773,dining
774,before sleep
775,working
776,watching TV
777,before sleep
778,walking
779,watching TV
780,watching TV
781,watching TV
782,studying
783,driving
784,walking
785,studying
786,driving
787,dining
788,waiting for bus
789,working
790,dining
791,before sleep
792,before sleep
793,working
794,before sleep
795,shopping
796,waiting for bus
797,driving
798,working
799,working
800,working
801,shopping
802,walking
803,before sleep
804,walking
805,walking
806,studying
807,working
808,watching TV
809,watching TV
810,waiting for bus
811,driving
812,working
813,shopping
814,driving
815,driving
816,walking
817,driving
818,waiting for bus
819,walking
820,driving
821,driving
822,driving
823,waiting for bus
824,walking
825,watching TV
826,shopping
827,driving
828,walking
829,studying
830,waiting for bus
831,shopping
832,dining
833,before sleep
834,waiting for bus
835,before sleep
836,driving
837,watching TV
838,watching TV
839,driving
840,driving
841,watching TV
842,before sleep
843,dining
844,before sleep
845,shopping
846,shopping
847,walking
848,driving
849,driving
850,working
851,watching TV
852,driving
853,watching TV
854,watching TV
855,driving
856,driving
857,driving
858,shopping
859,driving
860,driving
861,walking
862,driving
863,waiting for bus
864,walking
865,before sleep
866,walking
867,walking
868,driving
869,working
870,walking
871,before sleep
872,walking
873,driving
874,walking
875,studying
876,working
877,driving
878,driving
879,shopping
880,dining
881,watching TV
882,shopping
883,watching TV
884,driving
885,waiting for bus
886,shopping
887,driving
888,studying
889,driving
890,waiting for bus
891,watching TV
892,dining
893,shopping
894,walking
895,driving
896,walking
897,driving
898,studying
899,walking
900,walking
901,walking
902,walking
903,watching TV
904,waiting for bus
905,watching TV
906,working
907,walking
908,driving
909,waiting for bus
910,driving
911,walking
912,shopping
913,watching TV
914,before sleep
915,dining
916,waiting for bus
917,driving
918,walking
919,watching TV
920,walking
921,walking
922,working
923,before sleep
924,walking
925,waiting for bus
926,driving
927,watching TV
928,before sleep
929,working
930,watching TV
931,walking
932,studying
933,walking
934,before sleep
935,watching TV
936,shopping
937,dining
938,driving
939,shopping
940,waiting for bus
941,shopping
942,walking
943,walking
944,working
945,driving
946,walking
947,studying
948,walking
949,walking
950,driving
951,working
952,shopping
953,walking
954,working
955,walking
956,working
957,watching TV
958,shopping
959,shopping
960,waiting for bus
961,before sleep
962,shopping
963,studying
964,before sleep
965,shopping
966,driving
967,before sleep
968,shopping
969,driving
970,walking
971,driving
972,driving
973,dining
974,watching TV
975,dining
976,studying
977,waiting for bus
978,walking
979,watching TV
980,watching TV
981,driving
982,watching TV
983,walking
984,working
985,working
986,walking
987,dining
988,driving
989,watching TV
990,walking
991,shopping
992,walking
993,studying
994,watching TV
995,dining
996,driving
997,dining
998,driving
999,dining
1000,walking
1001,driving
1002,driving
1003,before sleep
1004,walking
1005,shopping
1006,driving
1007,walking
1008,working
1009,studying
1010,watching TV
1011,working
1012,waiting for bus
1013,walking
1014,watching TV
1015,shopping
1016,shopping
1017,walking
1018,before sleep
1019,shopping
1020,watching TV
1021,dining
1022,walking
1023,walking
1024,studying
1025,walking
1026,waiting for bus
1027,walking
1028,working
1029,waiting for bus
1030,walking
1031,walking
1032,watching TV
1033,studying
1034,watching TV
1035,driving
1036,driving
1037,waiting for bus
1038,driving
1039,watching TV
1040,walking
1041,waiting for bus
1042,driving
1043,studying
1044,waiting for bus
1045,studying
1046,shopping
1047,studying
1048,before sleep
1049,driving
1050,driving
1051,walking
1052,waiting for bus
1053,watching TV
1054,walking
1055,driving
1056,walking
1057,driving
1058,driving
1059,studying
1060,driving
1061,driving
1062,studying
1063,before sleep
1064,driving
1065,watching TV
1066,waiting for bus
1067,driving
1068,walking
1069,studying
1070,shopping
1071,waiting for bus
1072,driving
1073,watching TV
1074,shopping
1075,before sleep
1076,walking
1077,driving
1078,walking
1079,dining
1080,walking
1081,studying
1082,watching TV
1083,waiting for bus
1084,watching TV
1085,walking
1086,driving
1087,driving
1088,working
1089,studying
1090,walking
1091,walking
1092,driving
1093,walking
1094,driving
1095,working
1096,driving
1097,working
1098,driving
1099,walking
1100,driving
1101,studying
1102,dining
1103,watching TV
1104,walking
1105,shopping
1106,dining
1107,driving
1108,dining
1109,shopping
1110,before sleep
1111,driving
1112,walking
1113,dining
1114,waiting for bus
1115,before sleep
1116,studying
1117,watching TV
1118,watching TV
1119,working
1120,shopping
1121,driving
1122,waiting for bus
1123,waiting for bus
1124,shopping
1125,driving
1126,dining
1127,dining
1128,dining
1129,walking
1130,waiting for bus
1131,driving
1132,studying
1133,shopping
1134,driving
1135,driving
1136,before sleep
1137,driving
1138,before sleep
1139,walking
1140,shopping
1141,dining
1142,before sleep
1143,shopping
1144,working
1145,working
1146,driving
1147,dining
1148,driving
1149,shopping
1150,driving
1151,driving
1152,before sleep
1153,studying
1154,shopping
1155,driving
1156,dining
1157,waiting for bus
1158,walking
1159,driving
1160,walking
1161,waiting for bus
1162,studying
1163,working
1164,walking
1165,studying
1166,walking
1167,walking
1168,driving
1169,working
1170,driving
1171,shopping
1172,dining
1173,waiting for bus
1174,dining
1175,walking
1176,walking
1177,shopping
1178,walking
1179,dining
1180,walking
1181,before sleep
1182,waiting for bus
1183,walking
1184,driving
1185,dining
1186,walking
1187,working
1188,walking
1189,watching TV
1190,studying
1191,waiting for bus
1192,working
1193,driving
1194,before sleep
1195,shopping
1196,studying
1197,studying
1198,studying
1199,driving
1200,driving
1201,dining
1202,before sleep
1203,watching TV
1204,watching TV
1205,waiting for bus
1206,waiting for bus
1207,driving
1208,driving
1209,dining
1210,dining
1211,dining
1212,studying
1213,watching TV
1214,driving
1215,before sleep
1216,before sleep
1217,watching TV
1218,driving
1219,walking
