id,gender,test taker
0,male,Y
1,female,Y
2,male,N
3,female,Y
4,female,N
5,female,N
6,female,Y
7,female,N
8,female,N
9,female,Y
10,female,N
11,male,N
12,female,Y
13,male,Y
14,male,Y
15,female,N
16,female,N
17,male,Y
18,male,N
19,female,N
20,female,Y
21,female,Y
22,male,Y
23,female,N
24,female,N
25,male,N
26,male,Y
27,male,Y
28,female,N
29,female,N
30,male,Y
31,male,Y
32,male,Y
33,female,N
34,male,Y
35,female,N
36,female,N
37,female,N
38,male,Y
39,female,N
40,female,N
41,male,Y
42,female,Y
43,male,Y
44,female,Y
45,female,Y
46,male,Y
47,female,Y
48,female,Y
49,female,N
50,female,N
51,female,Y
52,female,N
53,male,Y
54,female,N
55,female,Y
56,male,Y
57,female,Y
58,female,N
59,male,Y
60,female,N
61,female,N
62,male,Y
63,female,Y
64,female,N
65,female,N
66,male,Y
67,female,N
68,female,N
69,female,N
70,female,N
71,female,Y
72,female,N
73,female,Y
74,female,N
75,male,Y
76,male,Y
77,male,Y
78,male,Y
79,female,N
80,female,Y
81,female,N
82,female,Y
83,male,N
84,male,Y
85,female,Y
86,male,Y
87,female,N
88,female,N
89,male,Y
90,male,N
91,male,Y
92,female,N
93,male,Y
94,male,Y
95,female,N
96,female,N
97,male,Y
98,female,N
99,female,Y
100,male,Y
101,male,Y
102,male,Y
103,male,Y
104,female,N
105,female,N
106,male,N
107,male,Y
108,male,N
109,female,N
110,female,N
111,female,N
112,female,N
113,male,Y
114,male,Y
115,female,N
116,female,N
117,male,Y
118,female,N
119,female,N
120,female,N
121,male,Y
122,male,Y
123,female,N
124,female,N
125,male,Y
126,female,N
127,female,N
128,male,Y
129,male,Y
130,female,N
131,male,Y
132,female,N
133,male,Y
134,male,Y
135,female,N
136,female,Y
137,female,N
138,male,Y
139,male,N
140,female,N
141,female,Y
142,male,Y
143,female,N
144,male,Y
145,female,N
146,male,N
147,female,Y
148,female,Y
149,female,N
150,female,Y
151,male,Y
152,female,Y
153,male,Y
154,male,Y
155,female,N
156,male,Y
157,female,Y
158,male,Y
159,female,N
160,female,N
161,female,Y
162,female,Y
163,male,Y
164,female,N
165,female,Y
166,female,N
167,female,N
168,female,Y
169,female,Y
170,female,Y
171,male,N
172,male,Y
173,female,N
174,male,Y
175,female,Y
176,female,N
177,female,Y
178,male,Y
179,female,N
180,female,N
181,female,Y
182,female,Y
183,male,Y
184,male,Y
185,male,N
186,male,Y
187,female,N
188,female,N
189,female,N
190,male,N
191,female,N
192,male,Y
193,female,N
194,female,N
195,female,Y
196,male,N
197,male,Y
198,female,Y
199,male,N
200,male,Y
201,female,N
202,female,N
203,female,N
204,male,Y
205,male,Y
206,female,N
207,male,Y
208,male,Y
209,female,N
210,female,N
211,female,N
212,female,N
213,female,N
214,male,Y
215,female,N
216,female,N
217,male,Y
218,male,Y
219,male,Y
220,female,Y
221,female,Y
222,male,N
223,male,Y
224,male,Y
225,male,N
226,male,Y
227,male,Y
228,female,Y
229,female,Y
230,female,Y
231,female,N
232,female,Y
233,male,Y
234,male,Y
235,female,N
236,female,Y
237,female,N
238,female,N
239,female,Y
240,female,N
241,female,N
242,male,Y
243,male,Y
244,male,Y
245,female,Y
246,female,N
247,female,N
248,female,Y
249,male,Y
250,female,Y
251,male,Y
252,male,Y
253,female,N
254,female,Y
255,male,Y
256,male,Y
257,female,N
258,female,N
259,female,N
260,male,N
261,male,N
262,female,Y
263,male,Y
264,female,Y
265,male,Y
266,female,N
267,female,Y
268,female,N
269,female,N
270,male,Y
271,female,N
272,male,Y
273,male,Y
274,male,Y
275,female,N
276,female,N
277,female,N
278,male,N
279,female,N
280,female,N
281,female,N
282,female,N
283,male,Y
284,male,Y
285,female,N
286,female,Y
287,male,Y
288,female,N
289,male,Y
290,female,N
291,male,Y
292,male,Y
293,female,Y
294,male,Y
295,male,Y
296,female,N
297,male,Y
298,male,Y
299,male,Y
300,male,Y
301,female,Y
302,female,N
303,male,Y
304,female,Y
305,female,Y
306,male,Y
307,female,N
308,female,N
309,male,Y
310,female,Y
311,female,N
312,female,N
313,female,N
314,female,N
315,female,Y
316,male,Y
317,male,N
318,male,Y
319,male,Y
320,male,Y
321,female,N
322,male,N
323,male,Y
324,female,Y
325,female,N
326,female,N
327,male,Y
328,female,Y
329,female,N
330,male,Y
331,female,N
332,female,N
333,male,Y
334,male,Y
335,male,Y
336,female,N
337,female,N
338,male,N
339,female,N
340,female,Y
341,female,Y
342,female,N
343,female,Y
344,female,Y
345,female,N
346,female,Y
347,female,Y
348,female,N
349,female,N
350,male,Y
351,female,Y
352,female,N
353,female,N
354,male,Y
355,female,N
356,male,Y
357,female,N
358,female,N
359,female,N
360,male,N
361,male,Y
362,female,Y
363,male,N
364,female,N
365,female,N
366,female,Y
367,female,N
368,female,Y
369,female,Y
370,male,N
371,female,N
372,male,Y
373,female,N
374,male,Y
375,female,N
376,male,Y
377,female,N
378,male,N
379,female,N
380,female,N
381,female,N
382,male,Y
383,female,N
384,male,N
385,male,Y
386,female,N
387,female,N
388,female,N
389,female,N
390,male,Y
391,female,N
392,male,Y
393,male,N
394,female,N
395,male,N
396,female,N
397,female,N
398,female,N
399,female,N
400,female,Y
401,male,Y
402,female,N
403,male,N
404,female,N
405,female,N
406,female,N
407,female,N
408,female,N
409,male,Y
410,female,Y
411,male,Y
412,female,N
413,male,Y
414,female,Y
415,female,Y
416,female,N
417,male,Y
418,female,N
419,female,N
420,female,N
421,female,N
422,male,N
423,female,N
424,female,N
425,female,Y
426,female,N
427,male,Y
428,male,Y
429,female,N
430,male,Y
431,female,Y
432,female,N
433,male,Y
434,male,Y
435,female,Y
436,male,Y
437,female,N
438,female,N
439,male,Y
440,female,N
441,female,N
442,female,Y
443,male,Y
444,male,N
445,male,N
446,female,Y
447,male,Y
448,male,Y
449,female,N
450,female,N
451,male,Y
452,male,Y
453,male,N
454,female,N
455,female,Y
456,female,N
457,female,N
458,male,Y
459,male,Y
460,female,N
461,female,N
462,female,N
463,male,Y
464,male,Y
465,female,N
466,male,Y
467,male,N
468,female,N
469,female,N
470,female,Y
471,female,N
472,male,Y
473,female,N
474,female,N
475,female,N
476,female,N
477,male,Y
478,female,N
479,female,N
480,female,N
481,female,Y
482,male,Y
483,male,Y
484,female,N
485,female,Y
486,female,Y
487,male,N
488,female,N
489,female,N
490,female,N
491,female,N
492,female,Y
493,female,N
