transaction-id,timestamp,Brand,Model,Color
0,2009-03-23 19:47:03,Nissan,Versa,white
1,2009-03-20 08:40:49,Chevy,Malibu,red
2,2009-03-03 05:14:29,Nissan,Juke,white
3,2009-03-09 15:20:12,Ford,Explorer,blue
4,2009-03-27 01:32:37,Nissan,Pathfinder,white
5,2009-03-26 08:27:59,Toyota,4Runner,white
6,2009-03-11 16:05:02,Toyota,Prius,dark-blue
7,2009-03-06 14:16:42,Honda,Odyssey,silver
8,2009-03-18 01:10:25,Nissan,Versa,black
9,2009-03-11 20:02:16,Ford,Focus,silver
10,2009-03-01 10:35:34,Nissan,Altima,silver
11,2009-03-06 09:53:05,Ford,Focus,black
12,2009-03-11 06:05:51,Ford,Focus,black
13,2009-03-26 12:36:03,Ford,Fiesta,dark-blue
14,2009-03-27 05:01:27,Nissan,Versa,dark-blue
15,2009-03-03 11:43:13,Ford,Fiesta,silver
16,2009-03-07 06:04:27,Nissan,Juke,silver
17,2009-03-18 21:33:33,Ford,Mustang,silver
18,2009-03-25 15:25:36,Chevy,Malibu,dark-blue
19,2009-03-22 08:02:57,Chevy,Camaro,silver
20,2009-03-17 23:13:47,Nissan,Sentra,red
21,2009-03-22 15:02:27,Honda,Accord,black
22,2009-03-04 05:06:16,Ford,Escape,silver
23,2009-03-08 17:26:57,Nissan,Sentra,black
24,2009-03-07 10:30:50,Nissan,Maxima,silver
25,2009-03-04 07:03:26,Chevy,Camaro,dark-blue
26,2009-03-02 03:01:14,Nissan,Pathfinder,black
27,2009-03-03 01:57:06,Toyota,Camry,black
28,2009-03-05 21:25:33,Chevy,Sonic,white
29,2009-03-17 05:33:13,Honda,Fit,silver
30,2009-03-27 14:25:34,Toyota,4Runner,red
31,2009-03-15 20:27:12,Honda,CR-V,white
32,2009-03-04 01:51:15,Honda,Accord,blue
33,2009-03-19 22:01:08,Ford,Explorer,silver
34,2009-03-11 00:03:01,Honda,Civic,blue
35,2009-03-02 19:48:34,Honda,CR-V,black
36,2009-03-21 05:18:28,Toyota,Camry,black
37,2009-03-19 07:30:26,Nissan,Altima,dark-blue
38,2009-03-15 22:38:14,Nissan,Juke,dark-blue
39,2009-03-21 21:17:32,Chevy,Cruze,silver
40,2009-03-02 16:04:05,Nissan,Maxima,silver
41,2009-03-25 12:37:13,Chevy,Impala,black
42,2009-03-06 15:43:09,Ford,Explorer,blue
43,2009-03-13 04:18:19,Ford,Focus,red
44,2009-03-14 15:39:30,Chevy,Sonic,dark-blue
45,2009-03-26 06:45:04,Honda,Odyssey,white
46,2009-03-25 22:30:30,Ford,Focus,black
47,2009-03-24 02:12:51,Honda,Odyssey,white
48,2009-03-31 22:25:22,Honda,Odyssey,black
49,2009-03-03 12:57:09,Chevy,Sonic,dark-blue
50,2009-03-23 01:04:37,Ford,Escape,blue
51,2009-03-15 10:00:35,Honda,Accord,red
52,2009-03-31 14:30:33,Toyota,Corolla,black
53,2009-03-30 06:12:09,Nissan,Sentra,dark-blue
54,2009-03-14 18:42:19,Chevy,Cruze,red
55,2009-03-03 00:45:45,Honda,Fit,silver
56,2009-03-09 16:20:41,Toyota,4Runner,white
57,2009-03-18 16:13:19,Honda,Odyssey,dark-blue
58,2009-03-07 03:17:11,Chevy,Camaro,silver
59,2009-03-20 12:40:17,Chevy,Camaro,black
60,2009-03-08 15:23:24,Chevy,Camaro,white
61,2009-03-17 04:18:32,Ford,Explorer,silver
62,2009-03-13 12:12:23,Toyota,Prius,blue
63,2009-03-03 17:00:11,Toyota,4Runner,blue
64,2009-03-11 02:48:21,Nissan,Pathfinder,red
65,2009-03-25 04:16:45,Nissan,Sentra,red
66,2009-03-27 07:02:36,Toyota,4Runner,white
67,2009-03-27 17:20:34,Honda,Civic,red
68,2009-03-16 22:58:18,Honda,CR-V,blue
69,2009-03-11 09:37:10,Chevy,Impala,black
70,2009-03-28 05:36:53,Toyota,Yaris,dark-blue
71,2009-03-16 06:06:08,Ford,Mustang,blue
72,2009-03-20 17:48:11,Honda,Civic,dark-blue
73,2009-03-28 15:31:30,Ford,Escape,white
74,2009-03-17 07:58:06,Chevy,Sonic,red
75,2009-03-25 16:24:30,Nissan,Maxima,dark-blue
76,2009-03-18 14:31:14,Toyota,RAV4,dark-blue
77,2009-03-13 00:09:08,Nissan,Pathfinder,red
78,2009-03-13 13:38:57,Ford,Escape,dark-blue
79,2009-03-21 10:25:33,Chevy,Cruze,red
80,2009-03-17 17:35:32,Chevy,Sonic,black
81,2009-03-30 11:06:53,Chevy,Malibu,blue
82,2009-03-22 03:31:39,Toyota,Camry,white
83,2009-03-26 12:22:28,Toyota,RAV4,blue
84,2009-03-18 07:18:21,Toyota,Yaris,white
85,2009-03-15 19:12:54,Chevy,Malibu,white
86,2009-03-21 13:46:04,Ford,Fiesta,dark-blue
87,2009-03-04 07:38:09,Chevy,Camaro,blue
88,2009-03-07 17:24:23,Chevy,Impala,silver
89,2009-03-28 10:06:33,Ford,Escape,red
90,2009-03-30 11:24:47,Honda,Odyssey,red
91,2009-03-13 19:45:19,Honda,Fit,black
92,2009-03-05 15:03:28,Chevy,Impala,silver
93,2009-03-29 05:34:36,Nissan,Maxima,dark-blue
94,2009-03-31 19:34:47,Chevy,Cruze,black
95,2009-03-15 08:09:11,Ford,Focus,white
96,2009-03-24 20:41:56,Chevy,Sonic,white
97,2009-03-08 19:35:05,Chevy,Sonic,white
98,2009-03-16 01:50:03,Nissan,Maxima,black
99,2009-03-20 04:43:04,Toyota,Prius,dark-blue
100,2009-03-18 13:48:24,Honda,Civic,dark-blue
101,2009-03-29 05:50:08,Ford,Escape,red
102,2009-03-23 08:43:09,Chevy,Sonic,red
103,2009-03-28 15:56:50,Honda,Odyssey,red
104,2009-03-06 13:59:52,Chevy,Malibu,blue
105,2009-03-16 06:50:58,Ford,Explorer,blue
106,2009-03-06 22:39:50,Honda,Civic,dark-blue
107,2009-03-31 10:47:53,Toyota,Corolla,white
108,2009-03-30 06:55:18,Toyota,Prius,black
109,2009-03-17 12:07:49,Chevy,Impala,blue
110,2009-03-06 15:46:21,Nissan,Maxima,white
111,2009-03-15 17:29:55,Ford,Mustang,blue
112,2009-03-11 14:45:05,Toyota,Corolla,white
113,2009-03-02 04:09:17,Honda,CR-V,red
114,2009-03-29 16:42:47,Chevy,Cruze,black
115,2009-03-15 08:07:01,Toyota,RAV4,black
116,2009-03-22 12:00:01,Nissan,Altima,blue
117,2009-03-03 15:08:07,Nissan,Juke,blue
118,2009-03-21 03:02:33,Ford,Mustang,white
119,2009-03-13 02:04:08,Chevy,Camaro,blue
120,2009-03-28 12:57:18,Honda,CR-V,black
121,2009-03-16 12:55:44,Honda,Accord,silver
122,2009-03-28 18:23:24,Toyota,Camry,dark-blue
123,2009-03-03 07:10:59,Nissan,Juke,silver
124,2009-03-05 04:56:15,Ford,Fiesta,black
125,2009-03-22 20:02:39,Chevy,Camaro,blue
126,2009-03-31 21:19:49,Honda,Fit,silver
127,2009-03-06 08:35:18,Toyota,4Runner,dark-blue
128,2009-03-28 12:32:50,Toyota,Corolla,blue
129,2009-03-22 08:40:35,Honda,Odyssey,silver
130,2009-03-26 05:49:01,Honda,Civic,red
131,2009-03-28 13:45:03,Nissan,Versa,red
132,2009-03-16 19:09:27,Nissan,Maxima,white
133,2009-03-24 04:16:03,Honda,CR-V,white
134,2009-03-27 09:50:01,Nissan,Sentra,black
135,2009-03-23 23:52:15,Honda,Civic,black
136,2009-03-22 22:06:50,Honda,Accord,dark-blue
