id,timestamp,shoe-type,color,state
0,2009-03-25 05:05:40,oxfords,6,UT
1,2009-03-14 18:04:11,loafers,4,AS
2,2009-03-11 17:06:29,oxfords,8,FL
3,2009-03-15 07:18:42,oxfords,9,MS
4,2009-03-20 06:56:17,slippers,3,DC
5,2009-03-16 10:59:51,sandals,9,DE
6,2009-03-12 22:16:24,flats,5,AS
7,2009-03-28 12:49:55,loafers,6,AZ
8,2009-03-08 15:01:59,high-heels,8,ND
9,2009-03-18 09:12:46,slippers,6,ID
10,2009-03-25 08:34:12,slippers,0,MS
11,2009-03-19 20:08:00,oxfords,6,NE
12,2009-03-29 10:30:22,sandals,9,UT
13,2009-03-10 14:12:53,slippers,7,NE
14,2009-03-19 12:11:44,sandals,9,AR
15,2009-03-29 18:08:17,high-heels,0,NV
16,2009-03-29 16:09:42,loafers,0,TX
17,2009-03-12 09:14:36,slippers,6,ID
18,2009-03-28 19:18:18,sandals,6,VT
19,2009-03-21 07:11:11,high-heels,9,MT
20,2009-03-21 05:42:09,slippers,7,CT
21,2009-03-02 09:53:56,high-heels,7,MP
22,2009-03-18 02:58:54,high-heels,7,TX
23,2009-03-24 01:17:54,loafers,6,VT
24,2009-03-16 18:03:43,flats,1,AR
25,2009-03-24 14:30:39,loafers,2,PA
26,2009-03-15 09:26:10,flats,3,NJ
27,2009-03-17 16:09:05,flats,9,DE
28,2009-03-01 13:36:52,oxfords,3,WV
29,2009-03-21 08:26:58,sandals,2,MI
30,2009-03-04 09:38:21,slippers,9,WV
31,2009-03-15 05:36:26,sandals,5,AS
32,2009-03-03 03:12:54,loafers,0,NH
33,2009-03-18 07:16:04,flats,0,PA
34,2009-03-31 06:13:19,slippers,6,AK
35,2009-03-28 04:49:30,sandals,7,DE
36,2009-03-18 06:37:04,flats,4,NC
37,2009-03-29 09:09:09,sandals,5,MN
38,2009-03-29 22:51:48,oxfords,1,CA
39,2009-03-14 22:12:55,boots,7,MO
40,2009-03-23 04:03:03,boots,5,WY
41,2009-03-05 18:58:32,loafers,4,HI
42,2009-03-27 19:32:22,oxfords,3,TN
43,2009-03-29 07:55:53,slippers,2,NA
44,2009-03-13 18:32:27,loafers,6,NE
45,2009-03-07 09:09:00,slippers,6,CO
46,2009-03-14 11:12:34,loafers,9,SC
47,2009-03-05 23:32:33,high-heels,3,NV
48,2009-03-23 16:29:54,loafers,0,UT
49,2009-03-03 11:39:40,high-heels,2,MD
