id,timestamp,referral-site,referral-type
0,2009-03-12 22:49:53,pinterest,paid
1,2009-03-26 13:56:06,slickdeals,organic
2,2009-03-08 15:00:06,google,paid
3,2009-03-17 05:17:07,google,paid
4,2009-03-18 14:48:54,google,paid
5,2009-03-17 19:35:07,twitter,organic
6,2009-03-10 10:40:22,google,organic
7,2009-03-07 12:27:06,twitter,paid
8,2009-03-13 18:33:39,instagram,organic
9,2009-03-21 08:27:34,instagram,organic
10,2009-03-21 02:53:36,amazon,paid
11,2009-03-27 18:24:19,discovery,organic
12,2009-03-22 22:53:16,pinterest,organic
13,2009-03-11 05:07:50,discovery,organic
14,2009-03-30 07:46:28,ebates,organic
15,2009-03-23 21:37:18,facebook,organic
16,2009-03-01 19:52:50,google,paid
17,2009-03-06 09:16:14,ebates,organic
18,2009-03-17 09:44:21,discovery,paid
19,2009-03-18 02:30:29,pinterest,paid
20,2009-03-19 17:09:49,fitness magazine,organic
21,2009-03-22 01:41:17,messenger,organic
22,2009-03-11 13:40:18,discovery,organic
23,2009-03-01 13:33:57,ebates,paid
24,2009-03-12 07:33:58,messenger,organic
25,2009-03-24 00:35:12,fitness magazine,paid
26,2009-03-18 08:44:45,discovery,organic
27,2009-03-15 15:33:18,amazon,organic
28,2009-03-24 08:32:29,fitness magazine,paid
29,2009-03-17 13:51:46,youtube,paid
30,2009-03-16 19:35:07,twitter,paid
31,2009-03-11 22:55:06,fitness magazine,paid
32,2009-03-24 14:47:57,pinterest,paid
33,2009-03-25 07:27:51,messenger,organic
34,2009-03-15 16:52:40,ebates,paid
35,2009-03-08 23:03:11,pinterest,paid
36,2009-03-31 11:14:11,facebook,paid
37,2009-03-18 20:56:22,fitness magazine,organic
38,2009-03-10 17:34:05,amazon,paid
39,2009-03-28 15:06:53,fitness magazine,organic
40,2009-03-23 00:28:03,facebook,paid
41,2009-03-02 09:26:02,amazon,paid
42,2009-03-22 17:15:11,ebates,paid
43,2009-03-28 21:00:21,amazon,organic
44,2009-03-30 04:13:05,instagram,paid
45,2009-03-23 01:20:57,fitness magazine,paid
46,2009-03-26 01:39:15,fitness magazine,paid
47,2009-03-29 05:48:45,fitness magazine,organic
48,2009-03-23 04:51:15,discovery,organic
49,2009-03-13 14:54:04,messenger,paid
50,2009-03-08 13:01:39,youtube,paid
51,2009-03-17 22:19:25,pinterest,organic
52,2009-03-28 16:57:05,facebook,organic
53,2009-03-14 06:19:33,twitter,paid
54,2009-03-29 22:11:54,discovery,paid
55,2009-03-28 04:14:17,youtube,organic
56,2009-03-10 00:03:44,twitter,organic
57,2009-03-15 20:56:16,twitter,paid
58,2009-03-02 23:53:27,facebook,organic
59,2009-03-09 10:35:22,pinterest,paid
60,2009-03-11 02:51:55,fitness magazine,organic
61,2009-03-16 09:23:20,twitter,paid
62,2009-03-29 09:33:41,amazon,paid
63,2009-03-27 07:00:38,amazon,organic
64,2009-03-29 13:38:14,pinterest,organic
65,2009-03-24 03:02:40,amazon,organic
66,2009-03-21 21:44:35,slickdeals,organic
67,2009-03-05 00:00:46,twitter,organic
68,2009-03-05 21:20:38,messenger,organic
69,2009-03-04 21:03:43,youtube,paid
70,2009-03-24 11:01:44,messenger,paid
71,2009-03-26 22:28:04,youtube,paid
72,2009-03-24 02:24:12,ebates,paid
73,2009-03-30 18:26:04,amazon,paid
74,2009-03-07 18:11:28,amazon,paid
75,2009-03-02 16:42:49,instagram,organic
76,2009-03-10 06:27:05,facebook,organic
77,2009-03-02 07:02:05,amazon,paid
78,2009-03-17 15:43:37,instagram,organic
79,2009-03-23 09:18:54,pinterest,paid
80,2009-03-28 04:52:14,discovery,organic
81,2009-03-17 20:26:24,pinterest,paid
82,2009-03-07 06:04:48,discovery,organic
83,2009-03-24 13:45:42,ebates,paid
84,2009-03-01 22:25:16,google,paid
85,2009-03-04 05:07:29,slickdeals,paid
86,2009-03-28 08:13:29,pinterest,paid
87,2009-03-17 04:21:42,amazon,paid
88,2009-03-11 17:26:17,ebates,paid
89,2009-03-21 09:06:36,amazon,paid
90,2009-03-30 12:02:52,discovery,paid
91,2009-03-24 19:02:51,discovery,paid
92,2009-03-16 01:47:20,facebook,organic
93,2009-03-13 19:51:34,amazon,paid
94,2009-03-19 07:07:40,twitter,paid
95,2009-03-17 10:53:23,fitness magazine,paid
96,2009-03-12 02:49:45,instagram,paid
97,2009-03-01 08:46:22,instagram,paid
98,2009-03-26 11:46:11,amazon,paid
99,2009-03-24 07:51:43,instagram,organic
100,2009-03-11 04:29:12,ebates,organic
101,2009-03-10 04:15:01,pinterest,organic
102,2009-03-06 22:22:48,slickdeals,paid
103,2009-03-29 14:03:07,messenger,organic
104,2009-03-03 16:56:11,facebook,paid
105,2009-03-25 09:26:53,facebook,paid
106,2009-03-29 18:59:13,discovery,paid
107,2009-03-05 08:22:11,discovery,paid
108,2009-03-29 02:29:02,amazon,organic
109,2009-03-14 21:49:32,amazon,paid
110,2009-03-30 10:37:57,pinterest,paid
111,2009-03-26 00:26:21,discovery,paid
112,2009-03-08 08:20:09,twitter,organic
113,2009-03-31 04:33:15,pinterest,paid
114,2009-03-26 02:48:51,instagram,organic
115,2009-03-26 16:03:24,slickdeals,organic
116,2009-03-25 05:45:52,discovery,organic
117,2009-03-28 01:20:58,twitter,paid
118,2009-03-27 22:04:20,ebates,organic
119,2009-03-08 13:40:24,twitter,organic
120,2009-03-24 00:10:54,google,paid
121,2009-03-29 05:03:57,google,organic
122,2009-03-23 18:48:47,amazon,organic
123,2009-03-06 14:29:15,messenger,organic
124,2009-03-20 08:20:59,facebook,organic
125,2009-03-22 01:40:12,youtube,organic
126,2009-03-14 07:18:11,discovery,paid
127,2009-03-03 12:29:15,amazon,paid
128,2009-03-28 20:00:16,fitness magazine,paid
129,2009-03-08 08:23:43,ebates,paid
130,2009-03-04 08:14:16,discovery,organic
131,2009-03-14 20:53:48,twitter,organic
132,2009-03-29 16:18:39,twitter,paid
133,2009-03-31 08:27:02,ebates,paid
134,2009-03-18 05:39:15,facebook,paid
135,2009-03-01 13:16:33,pinterest,organic
136,2009-03-24 18:25:31,amazon,paid
137,2009-03-30 11:10:17,youtube,paid
138,2009-03-06 20:04:54,google,paid
139,2009-03-28 13:33:27,pinterest,organic
140,2009-03-26 15:01:40,messenger,organic
141,2009-03-01 14:51:34,messenger,organic
142,2009-03-16 09:00:31,twitter,organic
143,2009-03-12 17:50:37,messenger,organic
144,2009-03-14 23:11:44,slickdeals,paid
145,2009-03-14 14:49:55,amazon,paid
146,2009-03-15 21:04:40,ebates,organic
147,2009-03-30 21:38:47,amazon,paid
148,2009-03-28 12:06:38,twitter,paid
149,2009-03-02 22:01:18,slickdeals,paid
150,2009-03-29 12:21:58,slickdeals,paid
151,2009-03-26 13:34:18,ebates,paid
152,2009-03-19 08:29:00,fitness magazine,paid
153,2009-03-12 07:50:48,slickdeals,paid
154,2009-03-31 22:46:30,pinterest,organic
155,2009-03-06 14:11:43,facebook,paid
156,2009-03-17 07:41:38,youtube,paid
157,2009-03-16 23:20:24,google,paid
158,2009-03-25 12:04:15,google,organic
159,2009-03-16 15:18:52,amazon,organic
160,2009-03-20 13:14:52,instagram,organic
