id,channel,type,value
0,mobile,organization,5276.826098261529
1,mobile,organization,5632.55799351409
2,call,contractor,270.7800357702582
3,mobile,organization,5287.322853158613
4,mobile,organization,5630.575590710588
5,call,individual,48.85761781277386
6,fax,individual,56.022402055420095
7,call,individual,43.87349746768059
8,mobile,individual,138.49981427370548
9,fax,contractor,463.59972141939875
10,mobile,individual,120.53593755658693
11,mobile,organization,5651.610533886364
12,mobile,organization,5149.225827901335
13,fax,individual,57.763135674505776
14,mobile,organization,5545.5358061766765
15,mobile,organization,5522.110586024536
16,mobile,organization,5907.572079233927
17,mobile,organization,5703.634905035173
18,fax,organization,3617.9194387531
19,fax,organization,3948.3704913446454
20,mobile,organization,5756.7914637367
21,fax,contractor,515.5076672465914
22,mobile,organization,5915.841254444014
23,mobile,organization,5343.231421814266
24,mobile,organization,5233.21546107093
25,mobile,organization,5587.818491531026
26,mobile,organization,5051.876753345462
27,fax,individual,55.135981015363086
28,fax,individual,59.45260326830171
29,call,individual,35.76578329942058
30,fax,organization,3541.1005373398502
31,mobile,contractor,261.5175561770326
32,mobile,organization,5481.845677340486
33,mobile,individual,131.54492272044587
34,mobile,organization,5927.154179712619
35,call,individual,50.762251384990186
36,mobile,organization,5167.899565001732
37,mobile,organization,5924.268496549437
38,mobile,organization,5634.5992774875485
39,mobile,organization,5013.515911058076
40,fax,contractor,497.3233154987786
41,mobile,organization,5856.155959500338
42,mobile,organization,5956.777982242261
43,mobile,organization,5500.590230526489
44,mobile,organization,5911.293896221892
45,call,individual,24.019183118503342
46,call,individual,24.287392648167874
47,fax,organization,3997.3121465760214
48,mobile,organization,5516.64010003082
49,mobile,organization,5499.86012927504
50,mobile,organization,5681.772824576372
51,mobile,organization,5288.157478891629
52,fax,contractor,539.0744325929822
53,call,individual,23.4954326385999
54,mobile,organization,5157.442944068215
55,call,individual,47.34112625641937
56,mobile,organization,5913.220049716918
57,fax,organization,3712.583326909067
58,fax,contractor,327.211298139248
59,call,individual,39.59304592541048
60,mobile,organization,5739.882047207334
61,mobile,organization,5670.478599141255
62,fax,organization,3858.8073426788933
63,mobile,contractor,286.4605490689542
64,mobile,organization,5246.643923237986
65,mobile,individual,110.68026527614155
66,mobile,organization,5680.053424889296
67,fax,organization,3200.971048593495
68,fax,individual,58.72872816425797
69,fax,individual,54.318285499357096
70,mobile,organization,5916.063945203089
71,mobile,organization,5130.745273596959
72,fax,individual,50.78972226965545
73,call,individual,49.2211818883726
74,mobile,organization,5864.0096056976745
75,mobile,organization,5671.199392102455
76,call,individual,32.06687739708804
77,call,individual,8.782874595899138
78,mobile,organization,5078.198888231767
79,fax,individual,59.85659735876427
80,mobile,organization,5642.670399620821
81,call,individual,37.039923577364576
82,fax,organization,3578.6606878750395
83,mobile,organization,5317.467078525225
84,mobile,organization,5064.930812476784
85,fax,contractor,317.22694223096823
86,mobile,organization,5071.613302363459
87,mobile,organization,5530.311538000609
88,fax,organization,3831.99412981154
89,fax,organization,3341.8788862859587
90,mobile,individual,109.68479551760167
91,mobile,organization,5378.032911874502
92,mobile,organization,5563.451390530164
93,fax,contractor,352.594112019362
94,fax,organization,3141.4797432407477
95,mobile,organization,5943.905961319348
96,mobile,individual,149.50046236034225
97,call,individual,9.152812589500343
98,mobile,individual,138.7287910743252
99,call,contractor,133.35097775897972
100,mobile,organization,5869.990608051525
101,mobile,organization,5953.171295922353
102,call,individual,29.952596841829294
103,mobile,organization,5938.974347003367
104,fax,contractor,411.1060467004975
105,fax,organization,3274.0647821817224
106,fax,organization,3505.2816571629287
107,fax,organization,3763.0812835337724
108,fax,organization,3377.135128135169
109,mobile,organization,5552.808757216812
110,mobile,organization,5370.584301677442
111,mobile,organization,5266.084363776411
112,call,individual,39.51746003711959
113,mobile,individual,127.04985642003784
114,call,individual,50.7456179997289
115,mobile,contractor,213.75739008292544
116,fax,organization,3202.288894463704
117,mobile,organization,5699.509610856924
118,mobile,organization,5375.757218893548
119,call,individual,48.833564634692074
120,fax,contractor,439.52133943941016
121,mobile,organization,5193.934799420513
122,fax,individual,53.58207123279711
123,mobile,organization,5550.317543413387
124,call,individual,7.826665170256787
125,fax,organization,3278.518789288333
126,fax,organization,3129.977921123557
127,mobile,individual,126.24487650267302
128,mobile,organization,5884.670583443455
129,call,individual,35.81956966295205
130,mobile,organization,5664.467166792107
131,fax,organization,3911.4777312269503
132,call,individual,35.695028680367386
133,mobile,organization,5984.213823310826
134,mobile,contractor,227.63969819441354
135,call,individual,50.91047580715546
136,mobile,organization,5660.544924648794
137,fax,organization,3179.1413800913865
138,fax,contractor,309.296720945188
139,fax,contractor,481.02679484117664
140,mobile,organization,5076.212533525554
141,call,individual,52.92262253463348
142,call,individual,30.95673531481148
143,call,individual,30.607023597625695
144,fax,organization,3851.406364039919
145,mobile,organization,5499.170765928899
146,mobile,contractor,253.4491538697029
147,fax,organization,3835.9271267124764
148,mobile,organization,5422.736987523878
149,fax,contractor,327.8363054280221
150,fax,organization,3083.5814918502733
151,mobile,organization,5535.103261073092
152,fax,organization,3073.4806803358774
153,fax,contractor,324.2633042706694
154,fax,contractor,594.3272368943522
155,mobile,organization,5772.024690476548
156,fax,organization,3833.636111590387
157,mobile,organization,5073.282035261119
158,call,contractor,217.31134192574478
159,mobile,organization,5596.534480720921
160,call,individual,33.5815226110022
161,fax,organization,3772.6955185919296
162,call,individual,16.226691808144807
163,fax,contractor,570.3367151500131
164,fax,organization,3305.426742346251
165,mobile,organization,5168.786774369673
166,mobile,organization,5570.613153355036
167,fax,organization,3230.6634036439655
