id,type,age
0,stability,26
1,neutral,74
2,stability,51
3,neutral,82
4,cushioned stability,89
5,neutral,20
6,lightweight trainer,78
7,neutral,80
8,walking,87
9,stability,50
10,stability,73
11,stability,22
12,racing,33
13,lightweight trainer,89
14,stability,49
15,stability,64
16,lightweight trainer,18
17,stability,52
18,neutral,68
19,cross-trainer,83
20,stability,35
21,stability,44
22,lightweight trainer,76
23,stability,45
24,stability,67
25,walking,77
26,cross-trainer,98
27,stability,24
28,racing,63
29,stability,52
30,stability,63
31,lightweight trainer,89
32,cross-trainer,71
33,neutral,86
34,stability,55
35,stability,98
36,trail,19
37,neutral,78
38,cross-trainer,83
39,stability,62
40,neutral,76
41,stability,58
42,walking,4
43,lightweight trainer,20
44,stability,47
45,neutral,78
46,stability,46
47,stability,57
48,stability,28
49,stability,41
50,stability,50
51,stability,56
52,racing,19
53,stability,43
54,neutral,67
55,cushioned stability,70
56,stability,62
57,stability,23
58,trail,34
59,lightweight trainer,84
60,stability,41
61,lightweight trainer,58
62,neutral,72
63,cross-trainer,21
64,stability,70
65,stability,45
66,walking,92
67,stability,58
68,stability,22
69,motion control,19
70,neutral,20
71,walking,79
72,lightweight trainer,33
73,stability,55
74,stability,45
75,cross-trainer,72
76,stability,35
77,stability,47
78,stability,74
79,stability,51
80,stability,61
81,motion control,27
82,cushioned stability,83
83,stability,45
84,lightweight trainer,10
85,stability,22
86,neutral,74
87,neutral,72
88,lightweight trainer,9
89,stability,52
90,neutral,21
91,walking,20
92,stability,55
93,cushioned stability,90
94,stability,53
95,stability,56
96,stability,24
97,stability,22
98,cross-trainer,88
99,cross-trainer,90
100,neutral,45
101,stability,26
102,cross-trainer,24
103,stability,51
104,stability,29
105,neutral,7
106,stability,83
107,stability,30
108,neutral,69
109,stability,44
110,stability,30
111,walking,89
112,walking,81
113,neutral,20
114,cross-trainer,98
115,cross-trainer,94
116,cross-trainer,80
117,walking,67
118,stability,24
119,stability,43
120,stability,38
121,stability,27
122,neutral,57
123,stability,48
124,neutral,69
125,neutral,70
126,cushioned stability,73
127,lightweight trainer,1
128,neutral,83
129,stability,55
130,stability,41
131,stability,49
132,cushioned stability,97
133,stability,44
134,stability,35
135,stability,38
136,neutral,19
137,neutral,66
138,cushioned stability,90
139,stability,50
140,neutral,41
141,stability,60
142,cushioned stability,90
143,stability,82
144,stability,47
145,stability,57
146,stability,46
147,walking,5
148,cross-trainer,22
149,lightweight trainer,55
150,walking,90
151,stability,28
152,stability,38
153,cushioned stability,74
154,stability,36
155,stability,33
156,stability,40
157,stability,26
158,lightweight trainer,19
159,motion control,31
160,cross-trainer,86
161,motion control,16
162,cushioned stability,99
163,neutral,79
164,stability,57
165,lightweight trainer,75
166,stability,40
167,lightweight trainer,6
168,lightweight trainer,34
169,stability,27
170,lightweight trainer,18
171,walking,71
172,stability,42
173,cross-trainer,90
174,stability,39
175,neutral,69
176,stability,30
177,stability,99
178,stability,58
179,stability,24
180,cross-trainer,18
181,cross-trainer,66
182,neutral,45
183,neutral,86
184,stability,22
185,stability,37
186,stability,60
187,stability,32
188,stability,58
189,neutral,24
190,stability,62
191,stability,69
192,cross-trainer,83
193,stability,39
194,walking,70
195,cross-trainer,85
196,stability,31
197,stability,42
198,stability,59
199,lightweight trainer,91
200,stability,59
201,lightweight trainer,60
202,neutral,26
203,stability,58
204,stability,54
205,stability,31
206,neutral,87
207,neutral,69
208,stability,54
209,cross-trainer,59
210,racing,10
211,neutral,25
212,cross-trainer,52
213,stability,45
214,stability,34
215,stability,33
216,stability,55
217,cross-trainer,18
218,stability,62
219,trail,50
220,stability,60
221,racing,64
222,cushioned stability,77
223,cross-trainer,42
224,stability,72
225,cross-trainer,82
226,stability,90
227,cushioned stability,75
228,stability,23
229,stability,32
230,cross-trainer,91
231,stability,87
232,stability,42
233,neutral,33
234,lightweight trainer,2
235,stability,34
236,stability,46
237,stability,45
238,stability,49
239,motion control,25
240,cross-trainer,18
241,neutral,70
242,cross-trainer,90
243,stability,38
244,stability,23
245,stability,64
246,motion control,48
247,cushioned stability,93
248,neutral,19
249,lightweight trainer,5
250,neutral,89
251,walking,99
252,lightweight trainer,87
253,stability,38
254,stability,31
255,cross-trainer,65
256,lightweight trainer,6
257,lightweight trainer,99
258,neutral,76
259,neutral,76
260,neutral,87
261,trail,37
262,cross-trainer,55
263,stability,90
264,cushioned stability,65
265,stability,24
266,stability,90
267,stability,64
268,stability,57
269,stability,22
270,stability,48
271,stability,48
272,cross-trainer,84
273,stability,25
274,stability,54
275,stability,48
276,cushioned stability,90
277,lightweight trainer,2
278,lightweight trainer,26
279,neutral,70
280,lightweight trainer,31
281,neutral,51
282,trail,39
283,cushioned stability,90
284,stability,58
285,neutral,88
286,neutral,59
287,neutral,19
288,stability,44
289,stability,29
290,neutral,45
291,stability,30
292,stability,44
293,trail,61
294,cross-trainer,57
295,stability,39
296,stability,24
297,lightweight trainer,4
298,neutral,70
299,lightweight trainer,73
300,lightweight trainer,20
301,stability,42
302,cross-trainer,63
303,lightweight trainer,72
304,stability,60
305,stability,52
306,stability,51
307,lightweight trainer,5
308,stability,46
309,cross-trainer,90
310,stability,49
311,stability,34
312,neutral,82
313,stability,37
314,neutral,79
315,cushioned stability,90
316,stability,27
317,stability,38
318,stability,42
319,stability,30
320,cross-trainer,65
321,motion control,36
322,walking,73
323,stability,63
324,cushioned stability,91
325,stability,29
326,stability,33
327,stability,57
328,stability,55
329,stability,39
330,cross-trainer,53
331,neutral,82
332,lightweight trainer,18
333,motion control,20
334,walking,70
335,stability,27
336,lightweight trainer,99
337,stability,25
338,lightweight trainer,64
339,lightweight trainer,19
340,cross-trainer,97
341,stability,49
342,walking,78
343,stability,33
344,lightweight trainer,81
345,lightweight trainer,16
346,trail,18
347,stability,44
348,neutral,80
349,lightweight trainer,30
350,stability,23
351,stability,27
352,cushioned stability,71
353,stability,35
354,lightweight trainer,66
355,cushioned stability,79
356,lightweight trainer,80
357,stability,41
358,lightweight trainer,68
359,neutral,84
360,lightweight trainer,16
361,lightweight trainer,6
362,stability,27
363,cushioned stability,87
364,stability,51
365,neutral,14
366,stability,50
367,stability,47
368,walking,19
369,lightweight trainer,21
370,neutral,84
371,cross-trainer,52
372,stability,27
373,neutral,78
374,neutral,72
375,stability,39
376,stability,27
377,cushioned stability,68
378,stability,61
379,neutral,76
380,stability,58
381,stability,62
382,stability,61
383,lightweight trainer,18
384,cushioned stability,87
385,neutral,80
386,lightweight trainer,20
387,stability,31
388,neutral,85
389,stability,44
390,stability,37
391,lightweight trainer,95
392,cushioned stability,68
393,neutral,41
394,stability,36
395,neutral,66
396,stability,61
397,motion control,23
398,stability,49
399,trail,21
400,cross-trainer,100
401,neutral,89
402,racing,32
403,stability,51
404,neutral,13
405,neutral,87
406,stability,52
407,walking,68
408,lightweight trainer,25
409,cross-trainer,79
410,stability,56
411,stability,40
412,stability,30
413,stability,41
414,trail,48
415,stability,90
416,neutral,84
417,walking,74
418,neutral,85
419,stability,45
420,cross-trainer,72
421,stability,38
422,cross-trainer,67
423,stability,53
424,stability,31
425,trail,5
426,walking,78
427,lightweight trainer,14
428,stability,55
429,neutral,74
430,neutral,80
431,lightweight trainer,22
432,lightweight trainer,76
433,stability,88
434,neutral,63
435,neutral,80
436,stability,26
437,neutral,73
438,stability,94
439,cushioned stability,67
440,neutral,66
441,stability,29
442,stability,48
443,neutral,80
444,stability,52
445,stability,29
446,stability,74
447,stability,49
448,neutral,72
449,cross-trainer,32
450,stability,49
451,lightweight trainer,74
452,lightweight trainer,49
453,stability,27
454,neutral,88
455,stability,55
456,stability,58
457,stability,40
458,racing,36
459,stability,63
460,motion control,29
461,cushioned stability,87
462,walking,77
463,neutral,13
464,lightweight trainer,20
465,lightweight trainer,84
466,stability,39
467,cushioned stability,96
468,motion control,58
469,stability,58
470,stability,100
471,trail,7
472,racing,57
473,walking,20
474,stability,33
475,lightweight trainer,80
476,stability,29
477,trail,46
478,stability,57
479,lightweight trainer,7
480,stability,35
481,cushioned stability,79
482,motion control,52
483,stability,45
484,neutral,66
485,stability,22
486,lightweight trainer,22
487,stability,30
488,lightweight trainer,22
489,stability,54
490,stability,31
491,lightweight trainer,73
492,neutral,70
493,stability,42
494,stability,50
495,motion control,51
496,stability,42
497,stability,24
498,neutral,57
499,motion control,17
500,neutral,73
501,stability,81
502,racing,21
503,stability,42
504,stability,39
505,racing,21
506,stability,56
507,neutral,76
508,stability,51
509,stability,40
510,stability,65
511,stability,45
512,stability,35
513,lightweight trainer,9
514,stability,40
515,cushioned stability,87
516,stability,41
517,stability,41
518,cross-trainer,67
519,neutral,76
520,stability,33
521,cross-trainer,81
522,stability,63
523,stability,42
524,lightweight trainer,82
525,motion control,27
526,stability,41
527,stability,79
528,stability,32
529,cushioned stability,95
530,cross-trainer,80
531,lightweight trainer,38
532,stability,90
533,lightweight trainer,17
534,stability,42
535,walking,76
536,cross-trainer,69
537,walking,88
538,neutral,69
539,neutral,36
540,neutral,79
541,stability,24
542,lightweight trainer,18
543,stability,35
544,neutral,30
545,cross-trainer,52
546,stability,23
547,stability,37
548,neutral,74
549,neutral,21
550,stability,31
551,cross-trainer,24
552,racing,55
553,stability,40
554,lightweight trainer,84
555,neutral,67
556,cushioned stability,87
557,neutral,86
558,stability,50
559,neutral,38
560,stability,36
561,stability,48
562,lightweight trainer,28
563,lightweight trainer,69
564,cross-trainer,67
565,stability,36
566,racing,15
567,neutral,80
568,walking,96
569,walking,92
570,stability,40
571,stability,85
572,stability,26
573,racing,23
574,stability,29
575,walking,71
576,lightweight trainer,3
577,lightweight trainer,68
578,lightweight trainer,66
579,neutral,77
580,cushioned stability,72
581,stability,33
582,neutral,67
583,stability,45
584,neutral,84
585,stability,57
586,stability,60
587,lightweight trainer,19
588,stability,49
589,stability,39
590,neutral,85
591,neutral,73
592,neutral,52
593,stability,38
594,lightweight trainer,19
595,neutral,68
596,stability,68
597,stability,29
598,stability,34
599,stability,27
600,neutral,65
601,stability,42
602,stability,39
603,cushioned stability,89
604,lightweight trainer,28
605,racing,6
606,walking,73
607,walking,66
608,stability,28
609,stability,57
610,lightweight trainer,68
611,neutral,77
612,stability,46
613,neutral,67
614,trail,51
615,walking,69
616,stability,48
617,stability,46
618,neutral,81
619,stability,22
620,stability,27
621,stability,52
622,stability,26
623,lightweight trainer,85
624,lightweight trainer,73
625,stability,52
626,neutral,77
627,stability,86
628,neutral,19
629,lightweight trainer,66
630,lightweight trainer,10
631,lightweight trainer,18
632,stability,56
633,neutral,48
634,stability,32
635,stability,56
636,lightweight trainer,19
637,neutral,56
638,stability,62
639,neutral,89
640,lightweight trainer,2
641,lightweight trainer,2
642,lightweight trainer,99
643,cross-trainer,80
644,stability,37
645,neutral,75
646,neutral,76
647,neutral,36
648,cross-trainer,29
649,neutral,65
650,walking,77
651,racing,30
652,stability,35
653,neutral,89
654,stability,41
655,neutral,16
656,stability,58
657,stability,48
658,stability,47
659,cross-trainer,90
660,stability,29
661,neutral,42
662,stability,63
663,cushioned stability,77
664,trail,57
665,stability,54
666,lightweight trainer,19
667,stability,76
668,stability,32
669,neutral,79
670,neutral,87
671,stability,43
672,stability,40
673,lightweight trainer,84
674,stability,40
675,stability,41
676,stability,52
677,stability,51
678,stability,51
679,walking,88
680,lightweight trainer,88
681,walking,65
682,cross-trainer,76
683,lightweight trainer,61
684,lightweight trainer,84
685,lightweight trainer,71
686,motion control,28
687,stability,33
688,cross-trainer,89
689,stability,50
690,walking,7
691,stability,39
692,stability,42
693,neutral,79
694,stability,90
695,lightweight trainer,1
696,neutral,85
697,cushioned stability,72
698,stability,31
699,lightweight trainer,19
700,stability,53
701,lightweight trainer,6
702,cushioned stability,83
703,stability,88
704,cross-trainer,71
705,motion control,36
706,lightweight trainer,20
707,trail,52
708,stability,28
709,stability,63
710,stability,58
711,stability,22
712,stability,66
713,stability,35
714,stability,49
715,stability,32
716,neutral,34
717,stability,57
718,lightweight trainer,99
719,trail,31
720,cross-trainer,73
721,neutral,82
722,stability,55
723,stability,53
724,neutral,89
725,neutral,69
726,neutral,68
727,stability,23
728,lightweight trainer,5
729,cross-trainer,78
730,stability,26
731,stability,58
732,stability,52
733,stability,37
734,lightweight trainer,9
735,walking,91
736,lightweight trainer,68
737,lightweight trainer,40
738,lightweight trainer,65
739,stability,34
740,stability,52
741,trail,62
742,stability,81
743,trail,4
744,neutral,66
745,stability,28
746,neutral,75
747,cushioned stability,86
748,stability,42
749,stability,55
750,stability,70
751,cross-trainer,87
752,neutral,85
753,stability,22
754,stability,59
755,stability,81
756,motion control,24
757,stability,25
758,stability,53
759,stability,82
760,stability,45
761,neutral,68
762,neutral,76
763,stability,32
764,trail,20
765,neutral,87
766,neutral,89
767,neutral,65
768,lightweight trainer,78
769,stability,57
770,racing,8
771,lightweight trainer,13
772,stability,36
773,lightweight trainer,95
774,stability,60
775,trail,30
776,cross-trainer,82
777,lightweight trainer,89
778,walking,21
779,neutral,80
780,lightweight trainer,40
781,walking,87
782,lightweight trainer,21
783,stability,33
784,stability,51
785,cushioned stability,69
786,stability,63
787,stability,64
788,trail,1
789,cross-trainer,69
790,stability,34
791,neutral,82
792,neutral,77
793,stability,32
794,cushioned stability,100
795,cross-trainer,90
796,cross-trainer,91
797,stability,47
798,motion control,38
799,stability,45
800,cushioned stability,82
801,lightweight trainer,5
802,neutral,31
803,stability,48
804,stability,59
805,walking,21
806,cross-trainer,94
807,stability,28
808,stability,32
809,racing,64
810,walking,76
811,motion control,47
812,stability,39
813,stability,57
814,walking,93
815,stability,25
816,walking,69
817,walking,78
818,cushioned stability,74
819,stability,34
820,racing,21
821,cross-trainer,60
822,lightweight trainer,7
823,stability,54
824,cushioned stability,69
825,stability,76
826,stability,56
827,stability,31
828,stability,60
829,motion control,4
830,stability,32
831,stability,26
832,lightweight trainer,20
833,stability,22
834,lightweight trainer,85
835,neutral,30
836,cross-trainer,73
837,cushioned stability,77
838,cross-trainer,68
839,racing,18
840,stability,33
841,lightweight trainer,54
842,stability,29
843,stability,44
844,lightweight trainer,75
845,stability,31
846,trail,21
847,stability,79
848,racing,44
849,lightweight trainer,86
850,trail,41
851,neutral,56
852,stability,57
853,stability,61
854,stability,62
855,stability,49
856,stability,22
857,cushioned stability,77
858,stability,25
859,stability,27
860,racing,32
861,stability,39
862,cross-trainer,81
863,lightweight trainer,21
864,cushioned stability,100
865,stability,25
866,stability,74
867,stability,60
868,neutral,80
869,neutral,70
870,stability,49
871,stability,22
872,stability,59
873,stability,59
874,stability,32
875,lightweight trainer,66
876,stability,42
877,neutral,84
878,stability,62
879,stability,37
880,stability,44
881,neutral,88
882,walking,12
883,stability,26
884,lightweight trainer,88
885,stability,22
886,walking,86
887,stability,99
888,cross-trainer,64
889,neutral,75
890,racing,10
891,walking,75
892,stability,46
893,stability,63
894,stability,35
895,stability,39
896,stability,60
897,stability,35
898,stability,55
899,stability,46
900,trail,45
901,neutral,59
902,stability,64
903,cross-trainer,68
904,stability,71
905,stability,40
906,neutral,64
907,stability,38
908,lightweight trainer,8
909,stability,41
910,stability,51
911,stability,37
912,trail,21
913,neutral,70
914,neutral,70
915,neutral,89
916,stability,32
917,stability,29
918,stability,26
919,stability,57
920,lightweight trainer,64
921,walking,5
922,stability,81
923,lightweight trainer,73
924,stability,45
925,trail,21
926,racing,18
927,neutral,74
928,lightweight trainer,52
929,lightweight trainer,6
930,lightweight trainer,15
931,stability,45
932,walking,75
933,neutral,57
934,trail,61
935,neutral,79
936,cross-trainer,99
937,stability,51
938,stability,69
939,stability,62
940,neutral,75
941,stability,61
942,cross-trainer,90
943,lightweight trainer,84
944,stability,61
945,cushioned stability,69
946,lightweight trainer,88
947,stability,68
948,neutral,83
949,walking,93
950,cushioned stability,75
951,cross-trainer,96
952,racing,55
953,neutral,89
954,neutral,74
955,stability,44
956,cross-trainer,40
957,neutral,33
958,stability,53
959,stability,35
960,neutral,86
961,stability,56
962,walking,78
963,neutral,74
964,stability,27
965,stability,37
966,lightweight trainer,85
967,neutral,44
968,stability,51
969,stability,57
970,neutral,74
971,cross-trainer,82
972,stability,30
973,racing,50
974,stability,29
975,stability,49
976,neutral,86
977,lightweight trainer,69
978,walking,77
979,walking,90
980,lightweight trainer,74
981,stability,63
982,lightweight trainer,19
983,stability,46
984,cross-trainer,77
985,lightweight trainer,40
986,walking,72
987,stability,23
988,walking,73
989,stability,50
990,neutral,83
991,stability,61
992,cross-trainer,65
993,neutral,59
994,stability,36
995,neutral,77
996,walking,84
997,stability,63
998,stability,59
999,stability,30
1000,walking,70
1001,neutral,82
1002,walking,77
1003,trail,50
1004,lightweight trainer,19
1005,neutral,71
1006,lightweight trainer,4
1007,lightweight trainer,79
1008,stability,27
1009,stability,63
1010,cross-trainer,20
1011,stability,60
1012,stability,64
1013,stability,41
1014,stability,55
1015,cushioned stability,87
1016,stability,76
1017,stability,50
1018,lightweight trainer,20
1019,walking,72
1020,cushioned stability,65
1021,motion control,35
1022,stability,60
1023,cross-trainer,90
1024,neutral,38
1025,neutral,79
1026,neutral,67
1027,stability,34
1028,neutral,15
1029,walking,72
1030,stability,33
1031,stability,57
1032,stability,40
1033,cushioned stability,74
1034,stability,40
1035,neutral,78
1036,stability,44
1037,stability,29
1038,stability,53
1039,neutral,65
1040,walking,84
1041,cross-trainer,96
1042,walking,20
1043,stability,44
1044,cross-trainer,82
1045,stability,41
1046,lightweight trainer,12
1047,lightweight trainer,10
1048,stability,39
1049,lightweight trainer,70
1050,stability,22
1051,stability,38
1052,stability,59
1053,stability,33
1054,motion control,12
1055,racing,64
1056,trail,19
1057,stability,35
1058,neutral,86
1059,neutral,51
1060,lightweight trainer,17
1061,stability,33
1062,stability,88
1063,stability,41
1064,racing,18
1065,cross-trainer,71
1066,motion control,63
1067,cushioned stability,72
1068,neutral,70
1069,stability,45
1070,stability,40
1071,walking,65
1072,trail,47
1073,stability,53
1074,cushioned stability,72
1075,stability,32
1076,stability,59
1077,stability,33
1078,lightweight trainer,19
1079,trail,51
1080,stability,50
1081,stability,37
1082,cross-trainer,73
1083,trail,25
1084,stability,38
1085,neutral,70
1086,motion control,42
1087,lightweight trainer,85
1088,stability,27
1089,stability,45
1090,lightweight trainer,20
1091,stability,34
1092,cross-trainer,72
1093,cross-trainer,93
1094,cross-trainer,80
1095,lightweight trainer,60
1096,motion control,19
1097,cushioned stability,88
1098,lightweight trainer,45
1099,cushioned stability,98
1100,stability,51
1101,walking,81
1102,stability,43
1103,trail,51
1104,stability,64
