id,has_buddy,weeks-in-program
0,yes,7
1,no,4
2,yes,11
3,no,2
4,yes,11
5,no,0
6,no,6
7,yes,10
8,yes,12
9,yes,9
10,yes,8
11,yes,8
12,no,5
13,yes,7
14,no,7
15,yes,12
16,no,6
17,yes,9
18,yes,8
19,yes,10
20,no,7
21,no,5
22,yes,10
23,no,0
24,no,4
25,yes,7
26,no,3
27,yes,9
28,no,1
29,yes,12
30,yes,12
31,yes,10
32,no,5
33,yes,11
34,no,0
35,yes,7
36,yes,4
37,yes,9
38,no,2
39,yes,8
40,no,2
41,no,6
42,yes,9
43,yes,9
44,no,4
45,no,3
46,no,8
47,no,4
48,yes,4
49,yes,9
50,yes,8
51,no,0
52,no,5
53,no,12
54,yes,9
55,no,3
56,yes,10
57,no,1
58,no,6
59,yes,4
60,yes,3
61,yes,10
62,yes,1
63,yes,8
64,no,6
65,no,3
66,yes,1
67,yes,10
68,yes,10
69,no,2
70,no,1
71,no,3
72,no,1
73,yes,5
74,yes,5
75,no,1
76,no,6
77,yes,9
78,yes,12
79,yes,8
80,yes,10
81,yes,7
82,no,4
83,yes,3
84,no,3
85,yes,9
86,yes,10
87,no,4
88,no,0
89,yes,6
90,no,12
91,no,2
92,yes,12
93,yes,4
94,yes,3
95,no,9
96,yes,12
97,no,0
98,yes,5
99,yes,11
100,no,5
101,no,6
102,yes,8
103,yes,7
104,no,7
105,yes,8
106,no,6
107,yes,12
108,yes,10
109,no,4
110,yes,6
111,no,2
112,no,5
113,yes,3
114,no,4
115,yes,11
116,no,2
117,no,4
118,no,0
119,no,1
120,yes,8
121,no,9
122,no,1
123,no,8
124,yes,5
125,yes,11
126,no,1
127,yes,3
128,yes,2
129,yes,6
130,no,0
131,yes,4
132,yes,10
133,yes,4
134,yes,10
135,no,1
136,no,9
137,no,7
138,yes,8
139,no,7
140,no,6
141,no,6
142,yes,10
143,no,6
144,yes,10
145,no,1
146,yes,10
147,yes,4
148,no,5
149,yes,11
150,yes,12
151,no,10
152,no,9
153,no,5
154,yes,10
155,yes,11
156,yes,4
157,yes,12
158,yes,9
159,no,0
160,no,2
161,yes,10
162,no,2
163,no,9
164,no,3
165,no,2
166,yes,7
167,yes,6
168,no,2
169,no,0
170,no,3
171,yes,6
172,yes,6
173,yes,8
174,yes,5
175,yes,4
176,yes,9
177,yes,7
178,yes,10
179,no,2
180,yes,8
181,no,2
182,no,1
183,no,4
184,no,4
185,no,7
186,no,6
187,no,1
188,no,11
189,no,2
190,yes,6
191,no,6
192,yes,7
193,yes,4
194,no,0
195,yes,0
196,yes,9
197,yes,8
198,yes,11
199,no,1
200,no,8
201,yes,11
202,yes,12
203,no,1
204,no,7
205,no,3
206,yes,12
207,no,4
208,no,11
209,no,0
210,yes,2
211,yes,3
212,yes,12
213,yes,11
214,yes,11
215,no,1
216,yes,6
217,no,7
218,no,0
219,no,1
220,yes,9
221,no,0
222,no,8
223,no,5
224,no,3
225,no,2
226,yes,4
227,yes,5
228,yes,11
229,no,4
230,no,11
231,no,4
232,no,4
233,yes,12
234,yes,1
235,no,2
236,no,6
237,no,7
238,yes,7
239,yes,5
240,yes,1
241,no,3
242,no,5
243,no,2
244,yes,8
245,no,0
246,no,3
247,no,6
248,no,5
249,yes,11
250,no,0
251,no,2
252,yes,12
253,no,0
254,no,6
255,no,1
256,yes,8
257,no,0
258,no,5
259,no,0
260,no,7
261,no,2
262,no,4
263,yes,1
264,yes,9
265,no,0
266,no,9
267,yes,12
268,no,1
269,yes,5
270,yes,9
271,yes,10
272,no,9
273,yes,9
274,no,2
275,yes,8
276,yes,7
277,yes,7
278,no,7
279,no,7
280,no,10
281,yes,8
282,yes,8
283,yes,10
284,no,1
285,yes,3
286,no,5
287,yes,7
288,no,4
289,yes,8
290,yes,5
291,yes,9
292,yes,5
293,yes,7
294,yes,5
295,no,12
296,yes,3
297,no,9
298,yes,2
299,yes,8
300,no,7
301,no,0
302,yes,12
303,no,11
304,yes,11
305,no,4
306,no,12
307,no,4
308,no,0
309,yes,3
310,yes,9
311,no,8
312,yes,2
313,no,7
314,no,4
315,yes,5
316,no,1
317,no,5
318,no,7
319,yes,9
320,no,0
321,yes,8
322,yes,9
323,no,6
324,no,5
325,no,5
326,yes,5
327,yes,8
328,no,4
329,yes,8
330,no,3
331,no,5
332,yes,10
333,no,1
334,no,7
335,no,4
336,no,4
337,yes,11
338,yes,8
339,yes,10
340,yes,4
341,yes,3
342,yes,8
343,no,6
344,no,6
345,yes,4
346,yes,8
347,yes,9
348,yes,5
349,yes,12
350,no,1
351,yes,11
352,yes,9
353,yes,4
354,yes,10
355,no,4
356,no,7
357,no,10
358,no,9
359,yes,7
360,yes,7
361,yes,10
362,yes,5
363,yes,7
364,yes,8
365,yes,4
366,yes,6
367,yes,9
368,no,5
369,no,12
370,no,10
371,yes,9
372,yes,7
373,no,0
374,no,7
375,yes,5
376,no,0
377,yes,12
378,yes,8
379,no,7
380,yes,9
381,no,3
382,no,6
383,yes,11
384,yes,9
385,no,11
386,yes,10
387,yes,4
388,yes,7
389,no,6
390,yes,4
391,no,6
392,no,12
393,no,2
394,no,4
395,yes,8
396,no,7
397,no,5
398,no,2
399,no,0
400,yes,6
401,yes,9
402,yes,6
403,yes,12
404,no,2
405,yes,10
406,no,12
407,no,7
408,yes,9
409,no,12
410,no,11
411,no,4
412,yes,11
413,no,4
414,yes,0
415,yes,11
416,no,2
417,yes,6
418,yes,11
419,no,7
420,yes,9
421,no,2
422,yes,10
423,yes,5
424,yes,10
425,no,1
426,yes,9
427,yes,6
428,yes,6
429,yes,9
430,no,4
431,yes,8
432,no,2
433,yes,5
434,no,4
435,no,11
436,yes,9
437,yes,5
438,no,3
439,yes,6
440,no,7
441,no,5
442,no,3
443,yes,10
444,no,2
445,no,3
446,yes,3
447,no,5
448,no,1
449,no,3
450,yes,8
451,no,6
452,yes,7
453,yes,10
454,yes,3
455,no,7
456,yes,12
457,no,2
458,yes,5
459,yes,0
460,no,6
461,yes,10
462,no,9
463,yes,7
464,no,7
465,no,1
466,no,6
467,no,5
468,yes,10
469,no,6
470,no,4
471,yes,9
472,yes,11
473,no,5
474,no,12
475,yes,5
476,yes,4
477,no,0
478,no,1
479,no,4
480,yes,12
481,yes,10
482,yes,12
483,yes,10
484,no,6
485,no,12
486,yes,0
487,no,7
488,yes,9
489,yes,12
490,no,0
491,no,7
492,yes,8
493,yes,6
494,yes,3
495,no,12
496,no,4
497,no,3
498,yes,5
499,no,4
500,no,1
501,no,6
502,yes,7
503,yes,7
504,yes,5
505,yes,8
506,yes,9
507,yes,10
508,no,8
509,yes,11
510,yes,6
511,yes,9
512,no,7
513,yes,1
514,yes,12
515,no,9
516,yes,5
517,no,1
518,yes,12
519,no,2
520,yes,7
521,yes,4
522,no,2
523,yes,11
524,no,4
525,no,6
526,no,3
527,yes,7
528,yes,6
529,yes,9
530,yes,7
531,no,1
532,yes,8
533,no,1
534,no,4
535,yes,3
536,yes,9
537,no,6
538,yes,9
539,no,2
540,no,8
541,no,4
542,yes,6
543,yes,7
544,yes,5
545,yes,12
546,yes,10
547,yes,7
548,yes,2
549,no,5
550,no,8
551,no,0
552,yes,6
553,yes,0
554,yes,2
555,no,6
556,no,5
557,yes,3
558,yes,3
559,yes,12
560,no,4
561,yes,6
562,no,4
563,no,5
564,no,5
565,yes,8
566,no,6
567,no,5
568,no,7
569,no,1
570,yes,5
571,no,2
572,no,0
573,no,0
574,no,3
575,no,1
576,no,3
577,no,2
578,yes,2
579,yes,5
580,yes,2
581,yes,7
582,yes,4
583,yes,3
584,no,5
585,no,2
586,yes,4
587,yes,10
588,yes,11
589,no,12
590,yes,11
591,no,0
592,yes,6
593,no,4
594,no,6
595,no,8
596,no,4
597,yes,1
598,no,4
599,no,2
600,yes,10
601,yes,12
602,yes,3
603,yes,10
604,no,8
605,yes,8
606,yes,3
607,yes,12
608,yes,9
609,no,5
610,yes,2
611,yes,8
612,yes,9
613,no,6
614,no,7
615,yes,12
616,yes,11
617,no,3
618,yes,4
619,no,10
620,yes,10
621,no,5
622,yes,12
623,yes,11
624,yes,6
625,no,3
626,no,6
627,yes,3
628,yes,10
629,yes,5
630,no,5
631,no,11
632,no,2
633,no,0
634,yes,6
635,no,3
636,yes,7
637,yes,10
638,no,2
639,yes,9
640,no,2
641,yes,8
642,no,5
643,yes,4
644,no,0
645,yes,7
646,no,12
647,yes,4
648,yes,4
649,no,5
650,yes,7
651,no,2
652,no,7
653,yes,4
654,yes,2
655,no,7
656,no,6
657,yes,0
658,yes,4
659,yes,4
660,no,2
661,yes,5
662,yes,7
663,yes,12
664,no,5
665,no,2
666,yes,4
667,yes,0
668,no,6
669,no,7
670,no,12
671,yes,10
672,yes,7
673,yes,4
674,no,6
675,no,3
676,no,1
677,yes,5
678,yes,3
679,yes,5
680,yes,12
681,no,7
682,no,0
683,no,1
684,yes,12
685,no,11
